_ep_player,_ep_stat,_ep_tier,_ep_dir,_ep_line,mu,edge_at_pp_line,implied_direction,apply_prior,external_prior_score,external_prior_n,external_prior_sources,delta_p
Al Horford,PTS,STANDARD,UNDER,9.5,8.834661780986238,-0.665338219013762,UNDER,True,-0.21821339417932553,1,rotowire,-0.006546401825379766
Al Horford,RA,DEMON,OVER,12.5,,,,False,0.0,0,,0.0
Al Horford,RA,GOBLIN,OVER,8.5,,,,False,0.0,0,,0.0
Al Horford,RA,STANDARD,UNDER,9.5,,,,False,0.0,0,,0.0
Al Horford,REB,GOBLIN,OVER,4.5,6.13693645139075,1.63693645139075,OVER,True,0.4972494825277958,1,rotowire,0.014917484475833874
Al Horford,REB,STANDARD,UNDER,6.5,6.13693645139075,-0.36306354860924994,UNDER,True,-0.12043379329672278,1,rotowire,-0.0036130137989016835
Al Horford,REB,DEMON,OVER,7.5,6.13693645139075,-1.36306354860925,UNDER,False,0.0,0,rotowire,0.0
Andrew Wiggins,AST,GOBLIN,OVER,1.5,,,,False,0.0,0,,0.0
Andrew Wiggins,AST,DEMON,OVER,4.5,,,,False,0.0,0,,0.0
Andrew Wiggins,FG3M,GOBLIN,OVER,1.5,,,,False,0.0,0,,0.0
Andrew Wiggins,FG3M,DEMON,OVER,2.5,,,,False,0.0,0,,0.0
Andrew Wiggins,PA,STANDARD,UNDER,19.0,,,,False,0.0,0,,0.0
Andrew Wiggins,PRA,GOBLIN,OVER,22.5,,,,False,0.0,0,,0.0
Andrew Wiggins,PRA,STANDARD,UNDER,24.5,,,,False,0.0,0,,0.0
Andrew Wiggins,PRA,DEMON,OVER,26.5,,,,False,0.0,0,,0.0
Andrew Wiggins,PR,STANDARD,UNDER,21.5,,,,False,0.0,0,,0.0
Andrew Wiggins,PTS,GOBLIN,OVER,14.5,,,,False,0.0,0,,0.0
Andrew Wiggins,PTS,STANDARD,UNDER,16.5,,,,False,0.0,0,,0.0
Andrew Wiggins,PTS,DEMON,OVER,22.5,,,,False,0.0,0,,0.0
Andrew Wiggins,RA,GOBLIN,OVER,6.5,,,,False,0.0,0,,0.0
Andrew Wiggins,RA,STANDARD,OVER,7.5,,,,False,0.0,0,,0.0
Andrew Wiggins,RA,DEMON,OVER,9.5,,,,False,0.0,0,,0.0
Andrew Wiggins,REB,GOBLIN,OVER,3.5,,,,False,0.0,0,,0.0
Andrew Wiggins,REB,DEMON,OVER,7.5,,,,False,0.0,0,,0.0
Anfernee Simons,AST,GOBLIN,OVER,3.5,,,,False,0.0,0,,0.0
Anfernee Simons,AST,DEMON,OVER,5.5,,,,False,0.0,0,,0.0
Anfernee Simons,FG3M,GOBLIN,OVER,2.5,,,,False,0.0,0,,0.0
Anfernee Simons,FG3M,DEMON,OVER,3.5,,,,False,0.0,0,,0.0
Anfernee Simons,PA,GOBLIN,OVER,19.5,,,,False,0.0,0,,0.0
Anfernee Simons,PA,STANDARD,UNDER,23.5,,,,False,0.0,0,,0.0
Anfernee Simons,PA,DEMON,OVER,34.5,,,,False,0.0,0,,0.0
Anfernee Simons,PRA,GOBLIN,OVER,23.5,,,,False,0.0,0,,0.0
Anfernee Simons,PRA,STANDARD,UNDER,26.5,,,,False,0.0,0,,0.0
Anfernee Simons,PRA,DEMON,OVER,29.5,,,,False,0.0,0,,0.0
Anfernee Simons,PR,GOBLIN,OVER,19.5,,,,False,0.0,0,,0.0
Anfernee Simons,PR,STANDARD,UNDER,22.5,,,,False,0.0,0,,0.0
Anfernee Simons,PR,DEMON,OVER,24.5,,,,False,0.0,0,,0.0
Anfernee Simons,PTS,GOBLIN,OVER,16.5,,,,False,0.0,0,,0.0
Anfernee Simons,PTS,STANDARD,UNDER,18.5,,,,False,0.0,0,,0.0
Anfernee Simons,PTS,DEMON,OVER,24.5,,,,False,0.0,0,,0.0
Anfernee Simons,RA,GOBLIN,OVER,6.5,,,,False,0.0,0,,0.0
Anfernee Simons,RA,DEMON,OVER,9.5,,,,False,0.0,0,,0.0
Anfernee Simons,REB,GOBLIN,OVER,2.5,,,,False,0.0,0,,0.0
Anfernee Simons,REB,DEMON,OVER,4.5,,,,False,0.0,0,,0.0
Anthony Black,AST,GOBLIN,OVER,3.5,,,,False,0.0,0,,0.0
Anthony Black,AST,STANDARD,OVER,4.5,,,,False,0.0,0,,0.0
Anthony Black,AST,DEMON,OVER,5.5,,,,False,0.0,0,,0.0
Anthony Black,FG3M,GOBLIN,OVER,1.5,,,,False,0.0,0,,0.0
Anthony Black,FG3M,DEMON,OVER,2.5,,,,False,0.0,0,,0.0
Anthony Black,PA,GOBLIN,OVER,19.5,18.81111752223314,-0.6888824777668603,UNDER,False,0.0,0,rotowire,0.0
Anthony Black,PA,STANDARD,OVER,21.0,18.81111752223314,-2.1888824777668603,UNDER,False,0.0,0,rotowire,0.0
Anthony Black,PA,DEMON,OVER,24.5,18.81111752223314,-5.68888247776686,UNDER,False,0.0,0,rotowire,0.0
Anthony Black,PRA,GOBLIN,OVER,24.5,23.57804695814641,-0.9219530418535911,UNDER,False,0.0,0,rotowire,0.0
Anthony Black,PRA,STANDARD,OVER,26.5,23.57804695814641,-2.921953041853591,UNDER,False,0.0,0,rotowire,0.0
Anthony Black,PRA,DEMON,OVER,34.5,23.57804695814641,-10.921953041853591,UNDER,False,0.0,0,rotowire,0.0
Anthony Black,PR,GOBLIN,OVER,19.5,19.41344005449772,-0.0865599455022803,UNDER,False,0.0,0,rotowire,0.0
Anthony Black,PR,STANDARD,OVER,21.5,19.41344005449772,-2.0865599455022803,UNDER,False,0.0,0,rotowire,0.0
Anthony Black,PR,DEMON,OVER,29.5,19.41344005449772,-10.08655994550228,UNDER,False,0.0,0,rotowire,0.0
