_ep_player,_ep_stat,_ep_tier,_ep_dir,_ep_line,mu,edge_at_pp_line,implied_direction,apply_prior,external_prior_score,bp_market_prob,bp_market_divergence,external_prior_n,external_prior_sources,delta_p
Evan Mobley,PRA,GOBLIN,OVER,24.5,29.900000000000002,5.400000000000002,OVER,True,0.9985079423323265,,0.0,1,bettingpros,0.0
Jalen Duren,PA,DEMON,OVER,24.5,15.458364882329494,-9.041635117670506,UNDER,False,0.0,,0.0,0,rotowire,0.0
Jalen Duren,PRA,GOBLIN,OVER,24.5,28.209661053931566,3.7096610539315655,OVER,True,0.9858798534984966,,0.0,2,"bettingpros,rotowire",0.0
James Harden,PTS,DEMON,OVER,24.5,19.5,-5.0,UNDER,False,0.0,0.4791,0.2458907868713529,0,oddsapi,0.0
James Harden,PA,GOBLIN,OVER,24.5,,,,False,0.0,,0.0,0,,0.0
Jarrett Allen,PR,DEMON,OVER,24.5,22.5,-2.0,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Tobias Harris,PTS,DEMON,OVER,24.5,15.331871640441445,-9.168128359558555,UNDER,False,0.0,0.4928,0.17600266829829442,0,"bettingpros,oddsapi,rotowire",0.0
Tobias Harris,PA,DEMON,OVER,24.5,16.748056067223466,-7.751943932776534,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Ausar Thompson,PR,DEMON,OVER,24.5,17.984726252082638,-6.515273747917362,UNDER,False,0.0,,0.0,0,rotowire,0.0
Donovan Mitchell,PA,GOBLIN,OVER,24.5,32.6,8.100000000000001,OVER,True,0.9999592018254402,,0.0,1,bettingpros,0.0
James Harden,PRA,GOBLIN,OVER,24.5,,,,False,0.0,,0.0,0,,0.0
Ausar Thompson,PRA,DEMON,OVER,24.5,20.3711791409515,-4.128820859048499,UNDER,False,0.0,,0.0,0,rotowire,0.0
Tobias Harris,PRA,STANDARD,OVER,24.5,22.91643112703865,-1.5835688729613508,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Tobias Harris,PRA,STANDARD,UNDER,24.5,22.91643112703865,-1.5835688729613508,UNDER,True,-0.7840173896690199,,0.0,2,"bettingpros,rotowire",0.0
Jarrett Allen,PRA,DEMON,OVER,24.5,24.1,-0.3999999999999986,UNDER,False,0.0,,0.0,0,bettingpros,0.0
James Harden,PR,STANDARD,OVER,23.5,,,,False,0.0,,0.0,0,,0.0
James Harden,PR,STANDARD,UNDER,23.5,,,,False,0.0,,0.0,0,,0.0
Jalen Duren,PR,GOBLIN,OVER,23.5,25.65849460009036,2.1584946000903606,OVER,True,0.8934955168502613,,0.0,2,"bettingpros,rotowire",0.0
Ausar Thompson,PRA,DEMON,OVER,23.5,20.3711791409515,-3.128820859048499,UNDER,False,0.0,,0.0,0,rotowire,0.0
Donovan Mitchell,PA,GOBLIN,OVER,23.5,32.6,9.100000000000001,OVER,True,0.999989245556393,,0.0,1,bettingpros,0.0
Evan Mobley,PA,DEMON,OVER,23.5,21.1,-2.3999999999999986,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Tobias Harris,PR,STANDARD,OVER,22.5,20.70482779388426,-1.7951722061157405,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Tobias Harris,PR,STANDARD,UNDER,22.5,20.70482779388426,-1.7951722061157405,UNDER,True,-0.8326702534695122,,0.0,2,"bettingpros,rotowire",0.0
Donovan Mitchell,PTS,GOBLIN,OVER,22.5,25.5,3.0,OVER,True,0.9640275800758169,0.4888,0.045904652149956926,1,oddsapi,0.0
James Harden,PTS,DEMON,OVER,22.5,19.5,-3.0,UNDER,False,0.0,0.4791,0.16787843368027072,0,oddsapi,0.0
James Harden,PR,GOBLIN,OVER,22.5,,,,False,0.0,,0.0,0,,0.0
Evan Mobley,PA,DEMON,OVER,22.5,21.1,-1.3999999999999986,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Jalen Duren,PRA,GOBLIN,OVER,22.5,28.209661053931566,5.7096610539315655,OVER,True,0.9990123954061149,,0.0,2,"bettingpros,rotowire",0.0
Tobias Harris,PRA,GOBLIN,OVER,22.5,22.91643112703865,0.41643112703864915,OVER,True,0.2707016050799286,,0.0,2,"bettingpros,rotowire",0.0
Donovan Mitchell,PTS,GOBLIN,OVER,21.5,25.5,4.0,OVER,True,0.990390494225681,0.4888,0.009317857251010753,1,oddsapi,0.0
James Harden,PTS,DEMON,OVER,21.5,19.5,-2.0,UNDER,False,0.0,0.4791,0.12892095393441194,0,oddsapi,0.0
Jarrett Allen,PRA,STANDARD,OVER,21.5,24.1,2.6000000000000014,OVER,True,0.9394486160260992,,0.0,1,bettingpros,0.0
Jarrett Allen,PRA,STANDARD,UNDER,21.5,24.1,2.6000000000000014,OVER,False,0.0,,0.0,0,bettingpros,0.0
James Harden,PA,GOBLIN,OVER,21.5,,,,False,0.0,,0.0,0,,0.0
Ausar Thompson,PRA,DEMON,OVER,20.5,20.3711791409515,-0.12882085904849916,UNDER,False,0.0,,0.0,0,rotowire,0.0
Tobias Harris,PTS,DEMON,OVER,20.5,15.331871640441445,-5.168128359558555,UNDER,False,0.0,0.4928,0.037443588239726044,0,"bettingpros,oddsapi,rotowire",0.0
Evan Mobley,PR,GOBLIN,OVER,20.5,26.7,6.199999999999999,OVER,True,0.9994862513364071,,0.0,1,bettingpros,0.0
Jalen Duren,PR,GOBLIN,OVER,20.5,25.65849460009036,5.158494600090361,OVER,True,0.9979417008633898,,0.0,2,"bettingpros,rotowire",0.0
Jarrett Allen,PR,STANDARD,OVER,20.0,22.5,2.5,OVER,True,0.9311096086675776,,0.0,1,bettingpros,0.0
Jarrett Allen,PR,STANDARD,UNDER,20.0,22.5,2.5,OVER,False,0.0,,0.0,0,bettingpros,0.0
Ausar Thompson,PR,DEMON,OVER,19.5,17.984726252082638,-1.5152737479173624,UNDER,False,0.0,,0.0,0,rotowire,0.0
Ausar Thompson,PRA,STANDARD,OVER,19.5,20.3711791409515,0.8711791409515008,OVER,True,0.5232365444022924,,0.0,1,rotowire,0.0
Ausar Thompson,PRA,STANDARD,UNDER,19.5,20.3711791409515,0.8711791409515008,OVER,False,0.0,,0.0,0,rotowire,0.0
Cade Cunningham,RA,DEMON,OVER,19.5,14.087183754436351,-5.412816245563649,UNDER,False,0.0,,0.0,0,rotowire,0.0
Donovan Mitchell,PTS,GOBLIN,OVER,19.5,25.5,6.0,OVER,True,0.999329299739067,0.4888,-0.06658754656600285,1,oddsapi,0.0
Duncan Robinson,PA,DEMON,OVER,19.5,13.651615534874615,-5.848384465125385,UNDER,False,0.0,,0.0,0,rotowire,0.0
Duncan Robinson,PR,DEMON,OVER,19.5,14.073137780143576,-5.4268622198564245,UNDER,False,0.0,,0.0,0,rotowire,0.0
Evan Mobley,PTS,DEMON,OVER,19.5,16.099999999999998,-3.400000000000002,UNDER,False,0.0,0.5,0.14967484277574866,0,"bettingpros,oddsapi",0.0
Evan Mobley,PR,GOBLIN,OVER,19.5,26.7,7.199999999999999,OVER,True,0.9998645517007604,,0.0,1,bettingpros,0.0
Jalen Duren,PTS,DEMON,OVER,19.5,13.711310091813367,-5.788689908186633,UNDER,False,0.0,0.5165,0.22122533828771923,0,"oddsapi,rotowire",0.0
Jalen Duren,PA,DEMON,OVER,19.5,15.458364882329494,-4.041635117670506,UNDER,False,0.0,,0.0,0,rotowire,0.0
Jalen Duren,PR,GOBLIN,OVER,19.5,25.65849460009036,6.158494600090361,OVER,True,0.9994570267357684,,0.0,2,"bettingpros,rotowire",0.0
James Harden,PR,GOBLIN,OVER,19.5,,,,False,0.0,,0.0,0,,0.0
Jarrett Allen,PTS,DEMON,OVER,19.5,12.95,-6.550000000000001,UNDER,False,0.0,0.4781,0.2581754226536418,0,"bettingpros,oddsapi",0.0
Max Strus,PR,DEMON,OVER,19.5,13.6,-5.9,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Tobias Harris,PTS,DEMON,OVER,19.5,15.331871640441445,-4.168128359558555,UNDER,False,0.0,0.4928,-3.390304730205296e-05,0,"bettingpros,oddsapi,rotowire",0.0
Tobias Harris,PA,DEMON,OVER,19.5,16.748056067223466,-2.751943932776534,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Tobias Harris,PR,GOBLIN,OVER,19.5,20.70482779388426,1.2048277938842595,OVER,True,0.6658322621169505,,0.0,2,"bettingpros,rotowire",0.0
James Harden,PA,GOBLIN,OVER,19.5,,,,False,0.0,,0.0,0,,0.0
Duncan Robinson,PRA,DEMON,OVER,19.5,16.342960343832964,-3.1570396561670364,UNDER,False,0.0,,0.0,0,rotowire,0.0
Daniss Jenkins,PA,DEMON,OVER,19.5,,,,False,0.0,,0.0,0,,0.0
