projection_id,source_projection_id,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at,game_date,opp,home,minutes_s,p,p_close,fragility,fragility_abs,is_star,q_blowout,min_mean,min_std,rate_mean,rate_std,games_used,data_health_flag,p_adj,rpd_active,rpd_last10_hitrate,rpd_z,rpd_delta_p,telemetry_k_shrink,telemetry_under_penalty,telemetry_mult,prop_key,external_prior_score,external_prior_n,external_prior_sources,external_prior_epsilon
9869926|AJ Green|PTS|DEMON|14.5|OVER,9869926,AJ Green,MIL,PTS,POINTS,1,14.5,OVER,DEMON,1,0,14.5,0,0,demon,2026-02-12T19:40:00.000-05:00,2026-02-12T05:47:18.235000+00:00,2026-02-12,,0,0.6,0.2490501899620076,0.24025194961007798,0.0,0.0,False,0.0,32.2,5.853204250664759,0.33325296568099777,0.15560954256631968,20,OK,0.3243351329734053,0,0.5,,0.0,0.7,0.9,1.0,AJ Green|PTS|OVER|14.5|DEMON,0.0,0,rotowire,0.03
9871091|AJ Green|PTS|DEMON|17.5|OVER,9871091,AJ Green,MIL,PTS,POINTS,1,17.5,OVER,DEMON,1,0,17.5,0,0,demon,2026-02-12T19:40:00.000-05:00,2026-02-12T19:33:13.749000+00:00,2026-02-12,,0,0.6,0.11827634473105379,0.10967806438712258,0.0,0.0,False,0.0,32.2,5.853204250664759,0.33325296568099777,0.15560954256631968,20,OK,0.23279344131173768,0,0.2,,0.0,0.7,0.9,1.0,AJ Green|PTS|OVER|17.5|DEMON,0.0,0,rotowire,0.03
9869927|AJ Green|PTS|DEMON|19.5|OVER,9869927,AJ Green,MIL,PTS,POINTS,1,19.5,OVER,DEMON,1,0,19.5,0,0,demon,2026-02-12T19:40:00.000-05:00,2026-02-12T05:47:18.212000+00:00,2026-02-12,,0,0.6,0.06948610277944411,0.0660867826434713,0.0,0.0,False,0.0,32.2,5.853204250664759,0.33325296568099777,0.15560954256631968,20,OK,0.1986402719456109,0,0.1,,0.0,0.7,0.9,1.0,AJ Green|PTS|OVER|19.5|DEMON,0.0,0,rotowire,0.03
9871092|AJ Green|PTS|GOBLIN|7.5|OVER,9871092,AJ Green,MIL,PTS,POINTS,1,7.5,OVER,GOBLIN,1,0,7.5,0,0,goblin,2026-02-12T19:40:00.000-05:00,2026-02-12T19:33:13.595000+00:00,2026-02-12,,0,0.6,0.7195560887822435,0.7165566886622675,0.0,0.0,False,0.0,32.2,5.853204250664759,0.33325296568099777,0.15560954256631968,20,OK,0.6536892621475705,0,0.7,,0.0,0.7,0.9,1.0,AJ Green|PTS|OVER|7.5|GOBLIN,0.8610767241613061,1,rotowire,0.03
9869786|AJ Green|PTS|STANDARD|10.5|UNDER,9869786,AJ Green,MIL,PTS,POINTS,1,10.5,UNDER,STANDARD,0,1,10.5,0,0,standard,2026-02-12T19:40:00.000-05:00,2026-02-12T19:07:18.187000+00:00,2026-02-12,,0,0.6,0.4916016796640672,0.498000399920016,0.012848825537040708,0.006398720255948787,False,0.0,32.2,5.853204250664759,0.33325296568099777,0.15560954256631968,20,OK,0.45970905818836233,0,0.4,,0.0,0.7,0.9,1.0,AJ Green|PTS|UNDER|10.5|STANDARD,0.0,0,rotowire,0.03
9871161|AJ Green|RA|GOBLIN|3.5|OVER,9871161,AJ Green,MIL,RA,REBS+ASTS,1,3.5,OVER,GOBLIN,1,0,3.5,0,0,goblin,2026-02-12T19:40:00.000-05:00,2026-02-12T19:07:53.290000+00:00,2026-02-12,,0,1.0,0.6807638472305539,0.6727654469106179,0.0,0.0,False,0.0,32.2,5.853204250664759,0.13574107381939904,0.0490480740433233,20,OK,0.6455087150960283,1,0.8,0.6388761568369354,0.027105745763772116,0.7,0.9,1.0,AJ Green|RA|OVER|3.5|GOBLIN,0.0,0,,0.03
9871162|AJ Green|RA|DEMON|5.5|OVER,9871162,AJ Green,MIL,RA,REBS+ASTS,1,5.5,OVER,DEMON,1,0,5.5,0,0,demon,2026-02-12T19:40:00.000-05:00,2026-02-12T19:05:34.130000+00:00,2026-02-12,,0,1.0,0.26444711057788445,0.2580483903219356,0.0,0.0,False,0.0,32.2,5.853204250664759,0.13574107381939904,0.0490480740433233,20,OK,0.32770845830833834,0,0.2,,0.0,0.7,0.9,1.0,AJ Green|RA|OVER|5.5|DEMON,0.0,0,,0.03
9871163|AJ Green|RA|DEMON|6.5|OVER,9871163,AJ Green,MIL,RA,REBS+ASTS,1,6.5,OVER,DEMON,1,0,6.5,0,0,demon,2026-02-12T19:40:00.000-05:00,2026-02-12T19:07:53.332000+00:00,2026-02-12,,0,1.0,0.13247350529894023,0.12247550489902019,0.0,0.0,False,0.0,32.2,5.853204250664759,0.13574107381939904,0.0490480740433233,20,OK,0.23902219556088783,0,0.1,,0.0,0.7,0.9,1.0,AJ Green|RA|OVER|6.5|DEMON,0.0,0,,0.03
9871164|AJ Green|RA|DEMON|7.5|OVER,9871164,AJ Green,MIL,RA,REBS+ASTS,1,7.5,OVER,DEMON,1,0,7.5,0,0,demon,2026-02-12T19:40:00.000-05:00,2026-02-12T19:07:53.123000+00:00,2026-02-12,,0,1.0,0.058688262347530495,0.056288742251549694,0.0,0.0,False,0.0,32.2,5.853204250664759,0.13574107381939904,0.0490480740433233,20,OK,0.1894385122975405,0,0.0,,0.0,0.7,0.9,1.0,AJ Green|RA|OVER|7.5|DEMON,0.0,0,,0.03
9885293|AJ Green|REB|GOBLIN|1.5|OVER,9885293,AJ Green,MIL,REB,REBOUNDS,1,1.5,OVER,GOBLIN,1,0,1.5,0,0,goblin,2026-02-12T19:40:00.000-05:00,2026-02-12T23:44:12.674000+00:00,2026-02-12,,0,0.6,0.732753449310138,0.7261547690461908,0.0,0.0,False,0.0,32.2,5.853204250664759,0.07780560678760476,0.04809487788266096,20,OK,0.6861603556208291,1,0.9,0.8845373608202609,0.033189915862474995,0.7,0.9,1.0,AJ Green|REB|OVER|1.5|GOBLIN,0.0,0,,0.03
