rank,tier,player,team,opp,stat,direction,line,hit_probability_pct,p_cal,game_date,start_time,run_id,generated_at
1,DEMON,Jordan Clarkson,NYK,PHI,PRA,OVER,10.5,71.2,0.7124934598559445,2026-05-06,2026-05-06T19:00:00.000-04:00,20260506_180243,2026-05-06 18:02:52
2,DEMON,Jose Alvarado,NYK,PHI,PRA,OVER,7.5,68.2,0.6823534030896531,2026-05-06,2026-05-06T19:00:00.000-04:00,20260506_180243,2026-05-06 18:02:52
3,DEMON,VJ Edgecombe,PHI,NYK,REB,OVER,5.5,53.3,0.533437017155843,2026-05-06,2026-05-06T19:00:00.000-04:00,20260506_180243,2026-05-06 18:02:52
4,DEMON,Luke Kornet,SAS,MIN,PA,OVER,4.5,51.9,0.5185125567220081,2026-05-06,2026-05-06T21:30:00.000-04:00,20260506_180243,2026-05-06 18:02:52
5,DEMON,Dylan Harper,SAS,MIN,AST,OVER,3.5,48.8,0.487540095332999,2026-05-06,2026-05-06T21:30:00.000-04:00,20260506_180243,2026-05-06 18:02:52
6,DEMON,Quentin Grimes,PHI,NYK,PRA,OVER,14.5,47.1,0.4705603911809537,2026-05-06,2026-05-06T19:00:00.000-04:00,20260506_180243,2026-05-06 18:02:52
7,DEMON,Keldon Johnson,SAS,MIN,PRA,OVER,15.5,38.2,0.3820536613718305,2026-05-06,2026-05-06T21:30:00.000-04:00,20260506_180243,2026-05-06 18:02:52
8,DEMON,Mikal Bridges,NYK,PHI,PRA,OVER,18.5,37.8,0.377580994265132,2026-05-06,2026-05-06T19:00:00.000-04:00,20260506_180243,2026-05-06 18:02:52
9,DEMON,Harrison Barnes,SAS,MIN,PRA,OVER,6.5,25.5,0.2549474029137754,2026-05-06,2026-05-06T21:30:00.000-04:00,20260506_180243,2026-05-06 18:02:52
10,DEMON,Miles McBride,NYK,PHI,PA,OVER,9.5,14.3,0.1429060377692297,2026-05-06,2026-05-06T19:00:00.000-04:00,20260506_180243,2026-05-06 18:02:52
