date,feed,n_legs,payout_mult,model_hit_prob,legs_hit,won,realized_ev,tier_mix,legs_str
20260403,system,4,10.0,0.2788,2,0,-1.0,GOBLIN:2/STANDARD:2,VJ Edgecombe OVER PA 14.5 (GOBLIN) [id:11084135] | Saddiq Bey OVER FG3M 1.5 (GOBLIN) [id:11086945] | Donte DiVincenzo UN
20260403,system,5,20.0,0.2073,3,0,-1.0,GOBLIN:3/STANDARD:2,Saddiq Bey OVER FG3M 1.5 (GOBLIN) [id:11086945] | Tre Jones OVER PTS 9.5 (GOBLIN) [id:11087690] | Matas Buzelis OVER PTS
20260403,windfall,3,6.0,0.2495,0,0,-1.0,DEMON:1/GOBLIN:1/STANDARD:1,Matas Buzelis OVER FG3M 1.5 (GOBLIN) [id:11082079] | Ayo Dosunmu OVER AST 4 (STANDARD) [id:11092560] | Josh Hart OVER FG
20260403,windfall,4,10.0,0.1394,3,0,-1.0,DEMON:1/GOBLIN:1/STANDARD:2,Matas Buzelis OVER REB 4.5 (GOBLIN) [id:11082099] | Naji Marshall OVER AST 3.5 (STANDARD) [id:11092575] | Devin Carter U
20260403,windfall,5,20.0,0.1143,4,0,-1.0,DEMON:1/GOBLIN:2/STANDARD:2,Matas Buzelis OVER REB 4.5 (GOBLIN) [id:11082099] | OG Anunoby OVER FG3M 1.5 (GOBLIN) [id:11082155] | Scottie Barnes UND
20260403,demonhunter,3,6.0,0.18,2,0,-1.0,DEMON:3,Dyson Daniels OVER FG3M 0.5 (DEMON) [id:11079793] | DeMar DeRozan OVER AST 4.5 (DEMON) [id:11086835] | Ayo Dosunmu OVER 
20260403,demonhunter,4,10.0,0.104,3,0,-1.0,DEMON:4,DeMar DeRozan OVER AST 4.5 (DEMON) [id:11086835] | Dyson Daniels OVER FG3M 0.5 (DEMON) [id:11079793] | OG Anunoby OVER F
20260403,demonhunter,5,20.0,0.0516,2,0,-1.0,DEMON:5,Precious Achiuwa OVER REB 9.5 (DEMON) [id:11086942] | DeMar DeRozan OVER AST 4.5 (DEMON) [id:11086835] | Nique Clifford 
20260402,system,3,6.0,0.3657,2,0,-1.0,GOBLIN:1/STANDARD:2,Derik Queen OVER REB 2.5 (GOBLIN) [id:11074424] | Cason Wallace OVER RA 3.5 (STANDARD) [id:11062013] | Saddiq Bey OVER P
20260402,system,4,10.0,0.2597,2,0,-1.0,GOBLIN:2/STANDARD:2,Luguentz Dort OVER RA 1.5 (GOBLIN) [id:11068747] | Evan Mobley OVER RA 8.5 (GOBLIN) [id:11062367] | Derik Queen OVER PRA
20260402,system,5,20.0,0.1896,3,0,-1.0,GOBLIN:3/STANDARD:2,Luguentz Dort OVER RA 2.5 (GOBLIN) [id:11053006] | James Harden OVER PTS 14.5 (GOBLIN) [id:11057480] | Derik Queen OVER 
20260402,windfall,3,6.0,0.2858,1,0,-1.0,DEMON:1/GOBLIN:1/STANDARD:1,Derik Queen OVER REB 2.5 (GOBLIN) [id:11074424] | Saddiq Bey OVER PTS 16.5 (STANDARD) [id:11056918] | Jarrett Allen OVER
20260402,windfall,4,10.0,0.1585,3,0,-1.0,DEMON:1/GOBLIN:1/STANDARD:2,Derik Queen OVER REB 2.5 (GOBLIN) [id:11074424] | Saddiq Bey OVER PTS 16.5 (STANDARD) [id:11056918] | Max Strus OVER PR 
20260402,windfall,5,20.0,0.1327,4,0,-1.0,DEMON:1/GOBLIN:2/STANDARD:2,Derik Queen OVER REB 2.5 (GOBLIN) [id:11074424] | Zion Williamson OVER RA 5.5 (GOBLIN) [id:11074425] | Jaylin Williams O
