rank,tier,player,team,opp,stat,direction,line,hit_probability_pct,p_cal,game_date,start_time,run_id,generated_at
2,STANDARD,Julian Champagnie,SAS,MIN,FTA,OVER,0.5,54.1,0.5410961001392678,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
3,STANDARD,Jaden McDaniels,MIN,SAS,PA,OVER,18.5,47.2,0.4719313982693894,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
4,STANDARD,Dylan Harper,SAS,MIN,PA,OVER,13.5,47.0,0.4699067195941354,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
5,STANDARD,Devin Vassell,SAS,MIN,PA,OVER,14.5,46.4,0.4636616620105151,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
6,STANDARD,Ayo Dosunmu,MIN,SAS,FG3M,OVER,1.5,45.1,0.4506232655680107,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
7,STANDARD,Keldon Johnson,SAS,MIN,PA,OVER,10.5,43.7,0.4367194437632444,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
8,STANDARD,De'Aaron Fox,SAS,MIN,AST,OVER,5.5,43.4,0.4339891395834346,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
9,STANDARD,Julius Randle,MIN,SAS,AST,OVER,3.5,29.1,0.2910272976087372,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
10,STANDARD,Anthony Edwards,MIN,SAS,AST,OVER,4.0,23.2,0.2318168183181681,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
1,DEMON,Julian Champagnie,SAS,MIN,AST,OVER,1.5,46.0,0.4600485203570054,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
2,DEMON,Devin Vassell,SAS,MIN,AST,OVER,3.5,30.1,0.3007408816246589,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
3,DEMON,Jaden McDaniels,MIN,SAS,AST,OVER,3.5,29.1,0.2909273076077373,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
4,DEMON,De'Aaron Fox,SAS,MIN,AST,OVER,6.5,27.5,0.275263312843128,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
5,DEMON,Ayo Dosunmu,MIN,SAS,AST,OVER,4.5,25.6,0.2560143985601439,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
6,DEMON,Dylan Harper,SAS,MIN,AST,OVER,3.5,24.8,0.2482815037817984,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
7,DEMON,Keldon Johnson,SAS,MIN,AST,OVER,1.5,24.7,0.2473815937727994,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
8,DEMON,Harrison Barnes,SAS,MIN,AST,OVER,0.5,17.6,0.1763444683746017,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
9,DEMON,Anthony Edwards,MIN,SAS,AST,OVER,4.5,17.3,0.1726227377262273,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
10,DEMON,Julius Randle,MIN,SAS,AST,OVER,4.5,16.0,0.1597240275972402,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
