date,player,stat,line,direction,tier,hit,p_cal,product,n_legs
20260408,Cameron Johnson,PRA,21.5,OVER,DEMON,1,0.3417,Windfall,4
20260408,Nikola Jokić,PA,29.5,OVER,GOBLIN,0,0.6554,Windfall,5
20260408,Jalen Duren,RA,9.5,OVER,GOBLIN,1,0.7326,Windfall,5
20260408,Jalen Williams,PTS,15.5,UNDER,STANDARD,0,0.4033,Windfall,5
20260408,Jordan Goodwin,PTS,8.5,OVER,STANDARD,1,0.4714,Windfall,5
20260408,Cade Cunningham,AST,7.5,OVER,DEMON,1,0.485,Windfall,5
20260407,Jaylin Williams,FG3M,0.5,OVER,GOBLIN,0,0.7791,System,3
20260407,Rui Hachimura,REB,4.0,OVER,STANDARD,1,0.5868,System,3
20260407,Clint Capela,PTS,2.5,OVER,STANDARD,0,0.6074,System,3
20260407,Clint Capela,PTS,1.5,OVER,GOBLIN,1,0.7874,System,4
20260407,Jaylin Williams,REB,3.5,OVER,GOBLIN,1,0.7611,System,4
20260407,Dillon Brooks,PR,14.5,OVER,GOBLIN,0,0.7152,System,5
20260407,Jalen Slawson,PRA,14.5,OVER,GOBLIN,1,0.675,System,5
20260407,Ethan Thompson,PRA,15.5,OVER,STANDARD,1,0.4857,System,5
20260407,Jaylin Williams,REB,5.0,OVER,STANDARD,0,0.5576,System,5
20260407,Isaiah Hartenstein,REB,8.0,OVER,STANDARD,0,0.5004,Windfall,3
20260407,Jayson Tatum,FG3M,3.5,OVER,DEMON,0,0.3268,Windfall,3
20260407,Jaylin Williams,AST,1.5,OVER,GOBLIN,1,0.8013,Windfall,4
20260407,Bilal Coulibaly,PTS,12.5,OVER,STANDARD,1,0.4608,Windfall,4
20260407,Jayson Tatum,AST,6.5,OVER,DEMON,0,0.3263,Windfall,4
20260407,Mike Conley,AST,2.5,OVER,GOBLIN,1,0.7632,Windfall,5
20260407,Deandre Ayton,REB,5.5,OVER,GOBLIN,0,0.7475,Windfall,5
20260407,Chet Holmgren,PR,23.5,OVER,STANDARD,1,0.4537,Windfall,5
20260407,Devin Carter,RA,10.5,OVER,STANDARD,0,0.5073,Windfall,5
20260406,Nickeil Alexander-Walker,FG3M,1.5,OVER,GOBLIN,1,0.8021,System,3
20260406,Christian Braun,PRA,19.5,OVER,STANDARD,0,0.4602,System,3
20260406,Dyson Daniels,PRA,23.5,OVER,STANDARD,1,0.4926,System,3
20260406,Cameron Johnson,PR,11.5,OVER,GOBLIN,1,0.6981,System,4
20260406,Dyson Daniels,RA,8.5,OVER,GOBLIN,1,0.7447,System,4
20260406,Jamal Murray,PRA,36.5,OVER,STANDARD,0,0.4582,System,4
20260406,Dylan Harper,PTS,11.5,UNDER,STANDARD,0,0.6559,System,4
20260406,Jalen Johnson,FG3M,0.5,OVER,GOBLIN,1,0.7749,System,5
20260406,Christian Braun,FG3M,0.5,OVER,GOBLIN,0,0.7678,System,5
20260406,Jamal Murray,RA,8.5,OVER,GOBLIN,0,0.7068,System,5
20260406,Nickeil Alexander-Walker,PA,23.0,OVER,STANDARD,1,0.5295,System,5
20260406,Jalen Duren,PRA,35.5,UNDER,STANDARD,1,0.4401,System,5
20260406,Zaccharie Risacher,PTS,2.5,OVER,GOBLIN,1,0.7742,Windfall,3
20260406,Christian Braun,PTS,12.0,OVER,STANDARD,0,0.4593,Windfall,3
20260406,CJ McCollum,PRA,29.5,OVER,DEMON,0,0.3228,Windfall,3
