source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Jalen Suggs,PA,2026-05-01 22:30:22,21.6,0.2,None,None,None,None,2,side=over; rating=0; diff=1.6; line=19.5; L10=3o/7u/10g; streak=3u; opp_rank=2
bettingpros,NBA,Deandre Ayton,PA,2026-05-01 22:30:22,14.1,0.2,None,None,None,None,4,side=over; rating=0; diff=1.6; line=12.5; L10=6o/4u/10g; streak=2o; opp_rank=4
bettingpros,NBA,Paolo Banchero,PRA,2026-05-01 22:30:22,40.1,0.2,None,None,None,None,2,side=over; rating=0; diff=1.6; line=37.5; L10=3o/7u/10g; streak=1o; opp_rank=2
bettingpros,NBA,Donovan Mitchell,PTS,2026-05-01 22:30:22,28,0.2,None,None,None,None,9,side=over; rating=0; diff=1.5; line=26.5; L10=5o/5u/10g; streak=3u; opp_rank=9
bettingpros,NBA,Caris LeVert,PTS,2026-05-01 22:30:22,8,0.2,None,None,None,None,12,side=over; rating=0; diff=1.5; line=6.5; L10=3o/7u/10g; streak=7u; opp_rank=12
bettingpros,NBA,Amen Thompson,PTS,2026-05-01 22:30:22,21,0.2,None,None,None,None,11,side=over; rating=0; diff=1.5; line=18.5; L10=6o/4u/10g; streak=1u; opp_rank=11
bettingpros,NBA,Dennis Schroder,REB,2026-05-01 22:30:22,2,0.2,None,None,None,None,9,side=under; rating=0; diff=-1.5; line=2.5; L10=2o/8u/10g; streak=1u; opp_rank=9
bettingpros,NBA,Scottie Barnes,PA,2026-05-01 22:30:22,28,0.2,None,None,None,None,15,side=under; rating=0; diff=-1.5; line=29.5; L10=4o/6u/10g; streak=2u; opp_rank=15
bettingpros,NBA,Austin Reaves,PR,2026-05-01 22:30:22,26,0.2,None,None,None,None,2,side=under; rating=0; diff=-1.5; line=27.5; L10=2o/8u/10g; streak=4u; opp_rank=2
bettingpros,NBA,Donovan Mitchell,RA,2026-05-01 22:30:22,10,0.2,None,None,None,None,6,side=over; rating=0; diff=1.5; line=8.5; L10=6o/4u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Anthony Black,AST,2026-05-01 22:30:22,3.9,0.2,None,None,None,None,1,side=over; rating=0; diff=1.4; line=2.5; L10=4o/6u/10g; streak=1o; opp_rank=1
bettingpros,NBA,Max Strus,PA,2026-05-01 22:30:22,12.9,0.2,None,None,None,None,6,side=over; rating=0; diff=1.4; line=11.5; L10=4o/6u/10g; streak=2u; opp_rank=6
bettingpros,NBA,Goga Bitadze,RA,2026-05-01 22:30:22,5.9,0.2,None,None,None,None,2,side=over; rating=0; diff=1.4; line=4.5; L10=7o/3u/10g; streak=1u; opp_rank=2
bettingpros,NBA,Tristan da Silva,PRA,2026-05-01 22:30:22,9.9,0.2,None,None,None,None,2,side=over; rating=0; diff=1.4; line=8.5; L10=6o/4u/10g; streak=1u; opp_rank=2
