source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Jaylen Brown,PR,2026-05-02 22:30:29,41.1,1.0,0.64973864613679,0.35026135386321,5,1,19,side=over; rating=5; diff=9.6; line=37.5; L10=2o/8u/10g; streak=4u; opp_rank=19
bettingpros,NBA,Sam Hauser,FG3M,2026-05-02 22:30:29,3,0.2,None,None,None,None,18,side=over; rating=0; diff=0.5; line=2.5; L10=2o/8u/10g; streak=5u; opp_rank=18
bettingpros,NBA,Joel Embiid,PRA,2026-05-02 22:30:29,40,0.2,None,None,None,None,1,side=under; rating=0; diff=-0.5; line=40.5; L10=5o/5u/10g; streak=1u; opp_rank=1
bettingpros,NBA,Joel Embiid,BLK,2026-05-02 22:30:29,1.1,0.2,None,None,None,None,5,side=under; rating=0; diff=-0.4; line=1.5; L10=3o/7u/10g; streak=3u; opp_rank=5
bettingpros,NBA,Quentin Grimes,REB,2026-05-02 22:30:29,2.9,0.2,None,None,None,None,6,side=over; rating=0; diff=0.4; line=2.5; L10=7o/3u/10g; streak=1o; opp_rank=6
bettingpros,NBA,Baylor Scheierman,REB,2026-05-02 22:30:29,3.1,0.2,None,None,None,None,22,side=under; rating=0; diff=-0.4; line=3.5; L10=3o/7u/10g; streak=2u; opp_rank=22
bettingpros,NBA,Jaylen Brown,STL,2026-05-02 22:30:29,0.9,0.2,None,None,None,None,2,side=over; rating=0; diff=0.4; line=0.5; L10=9o/1u/10g; streak=1u; opp_rank=2
bettingpros,NBA,Baylor Scheierman,FG3M,2026-05-02 22:30:29,1.1,0.2,None,None,None,None,18,side=under; rating=0; diff=-0.4; line=1.5; L10=5o/5u/10g; streak=2u; opp_rank=18
bettingpros,NBA,Baylor Scheierman,PA,2026-05-02 22:30:29,6.1,0.2,None,None,None,None,17,side=under; rating=0; diff=-0.4; line=7.5; L10=3o/7u/10g; streak=6u; opp_rank=17
bettingpros,NBA,Kelly Oubre Jr.,RA,2026-05-02 22:30:29,6.9,0.2,None,None,None,None,5,side=over; rating=0; diff=0.4; line=6.5; L10=5o/5u/10g; streak=2o; opp_rank=5
bettingpros,NBA,Tyrese Maxey,AST,2026-05-02 22:30:29,6.2,0.2,None,None,None,None,4,side=under; rating=0; diff=-0.3; line=6.5; L10=2o/8u/10g; streak=4u; opp_rank=4
bettingpros,NBA,Neemias Queta,AST,2026-05-02 22:30:29,1.8,0.2,None,None,None,None,19,side=over; rating=0; diff=0.3; line=1.5; L10=4o/6u/10g; streak=6u; opp_rank=19
bettingpros,NBA,Payton Pritchard,BLK,2026-05-02 22:30:29,0.2,0.2,None,None,None,None,20,side=under; rating=0; diff=-0.3; line=0.5; L10=0o/10u/10g; streak=11u; opp_rank=20
bettingpros,NBA,Paul George,REB,2026-05-02 22:30:29,5.8,0.2,None,None,None,None,6,side=over; rating=0; diff=0.3; line=5.5; L10=1o/9u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Kelly Oubre Jr.,FG3M,2026-05-02 22:30:29,1.8,0.2,None,None,None,None,22,side=over; rating=0; diff=0.3; line=1.5; L10=3o/7u/10g; streak=4u; opp_rank=22
bettingpros,NBA,Joel Embiid,PR,2026-05-02 22:30:29,35.8,0.2,None,None,None,None,1,side=over; rating=0; diff=0.3; line=35.5; L10=5o/5u/10g; streak=1u; opp_rank=1
bettingpros,NBA,Sam Hauser,AST,2026-05-02 22:30:29,1.7,0.2,None,None,None,None,19,side=over; rating=0; diff=0.2; line=1.5; L10=4o/6u/10g; streak=5u; opp_rank=19
bettingpros,NBA,Tyrese Maxey,BLK,2026-05-02 22:30:29,0.7,0.2,None,None,None,None,5,side=over; rating=0; diff=0.2; line=0.5; L10=4o/6u/10g; streak=1u; opp_rank=5
bettingpros,NBA,Kelly Oubre Jr.,REB,2026-05-02 22:30:29,5.3,0.2,None,None,None,None,6,side=under; rating=0; diff=-0.2; line=5.5; L10=5o/5u/10g; streak=2o; opp_rank=6
bettingpros,NBA,Payton Pritchard,STL,2026-05-02 22:30:29,0.7,0.2,None,None,None,None,2,side=over; rating=0; diff=0.2; line=0.5; L10=4o/6u/10g; streak=2u; opp_rank=2
bettingpros,NBA,Neemias Queta,STL,2026-05-02 22:30:29,0.7,0.2,None,None,None,None,2,side=over; rating=0; diff=0.2; line=0.5; L10=2o/8u/10g; streak=3u; opp_rank=2
bettingpros,NBA,VJ Edgecombe,RA,2026-05-02 22:30:29,9.7,0.2,None,None,None,None,5,side=over; rating=0; diff=0.2; line=9.5; L10=8o/2u/10g; streak=2o; opp_rank=5
bettingpros,NBA,Paul George,BLK,2026-05-02 22:30:29,0.4,0.2,None,None,None,None,5,side=under; rating=0; diff=-0.1; line=0.5; L10=3o/7u/10g; streak=1o; opp_rank=5
bettingpros,NBA,Jaylen Brown,BLK,2026-05-02 22:30:29,0.4,0.2,None,None,None,None,20,side=under; rating=0; diff=-0.1; line=0.5; L10=4o/6u/10g; streak=2u; opp_rank=20
bettingpros,NBA,Sam Hauser,BLK,2026-05-02 22:30:29,0.4,0.2,None,None,None,None,20,side=under; rating=0; diff=-0.1; line=0.5; L10=1o/9u/10g; streak=4u; opp_rank=20
bettingpros,NBA,VJ Edgecombe,BLK,2026-05-02 22:30:29,0.6,0.2,None,None,None,None,5,side=over; rating=0; diff=0.1; line=0.5; L10=3o/7u/10g; streak=1o; opp_rank=5
bettingpros,NBA,Joel Embiid,REB,2026-05-02 22:30:29,8.6,0.2,None,None,None,None,6,side=over; rating=0; diff=0.1; line=8.5; L10=5o/5u/10g; streak=1o; opp_rank=6
bettingpros,NBA,Payton Pritchard,REB,2026-05-02 22:30:29,4.6,0.2,None,None,None,None,22,side=over; rating=0; diff=0.1; line=4.5; L10=1o/9u/10g; streak=4u; opp_rank=22
bettingpros,NBA,Sam Hauser,REB,2026-05-02 22:30:29,4.6,0.2,None,None,None,None,22,side=over; rating=0; diff=0.1; line=4.5; L10=4o/6u/10g; streak=1u; opp_rank=22
bettingpros,NBA,VJ Edgecombe,REB,2026-05-02 22:30:29,5.6,0.2,None,None,None,None,6,side=over; rating=0; diff=0.1; line=5.5; L10=8o/2u/10g; streak=2o; opp_rank=6
bettingpros,NBA,Paul George,STL,2026-05-02 22:30:29,1.4,0.2,None,None,None,None,1,side=under; rating=0; diff=-0.1; line=1.5; L10=5o/5u/10g; streak=4o; opp_rank=1
bettingpros,NBA,Joel Embiid,STL,2026-05-02 22:30:29,0.6,0.2,None,None,None,None,1,side=over; rating=0; diff=0.1; line=0.5; L10=3o/7u/10g; streak=1o; opp_rank=1
bettingpros,NBA,Tyrese Maxey,STL,2026-05-02 22:30:29,1.4,0.2,None,None,None,None,1,side=under; rating=0; diff=-0.1; line=1.5; L10=4o/6u/10g; streak=2o; opp_rank=1
bettingpros,NBA,Jordan Walsh,STL,2026-05-02 22:30:29,0.6,0.2,None,None,None,None,2,side=over; rating=0; diff=0.1; line=0.5; L10=5o/5u/10g; streak=1u; opp_rank=2
bettingpros,NBA,Joel Embiid,FG3M,2026-05-02 22:30:29,1.6,0.2,None,None,None,None,22,side=over; rating=0; diff=0.1; line=1.5; L10=5o/5u/10g; streak=3u; opp_rank=22
bettingpros,NBA,Joel Embiid,PA,2026-05-02 22:30:29,31.6,0.2,None,None,None,None,1,side=over; rating=0; diff=0.1; line=31.5; L10=5o/5u/10g; streak=1u; opp_rank=1
bettingpros,NBA,Payton Pritchard,RA,2026-05-02 22:30:29,10.6,0.2,None,None,None,None,22,side=over; rating=0; diff=0.1; line=9.5; L10=2o/8u/10g; streak=4u; opp_rank=22
