source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Tyrese Maxey,PA,2026-05-04 22:30:22,34.9,1.0,0.64472211106125,0.35527788893875,5,1,5,side=over; rating=5; diff=4.4; line=31.5; L10=5o/5u/10g; streak=2o; opp_rank=5
bettingpros,NBA,Victor Wembanyama,REB,2026-05-04 22:30:22,13,0.2,None,None,None,None,13,side=over; rating=0; diff=1.5; line=11.5; L10=7o/3u/10g; streak=2o; opp_rank=13
bettingpros,NBA,Julius Randle,RA,2026-05-04 22:30:22,12,0.2,None,None,None,None,9,side=over; rating=0; diff=1.5; line=10.5; L10=5o/5u/10g; streak=1u; opp_rank=9
bettingpros,NBA,Luke Kornet,RA,2026-05-04 22:30:22,6,0.2,None,None,None,None,13,side=over; rating=0; diff=1.5; line=4.5; L10=9o/1u/10g; streak=7o; opp_rank=13
bettingpros,NBA,Paul George,RA,2026-05-04 22:30:22,10,0.2,None,None,None,None,3,side=over; rating=0; diff=1.5; line=8.5; L10=2o/8u/10g; streak=2u; opp_rank=3
bettingpros,NBA,Luke Kornet,PTS,2026-05-04 22:30:22,4.9,0.2,None,None,None,None,13,side=over; rating=0; diff=1.4; line=3.5; L10=7o/3u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Dylan Harper,REB,2026-05-04 22:30:22,3.9,0.2,None,None,None,None,13,side=over; rating=0; diff=1.4; line=2.5; L10=8o/2u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Anthony Edwards,RA,2026-05-04 22:30:22,8.9,0.2,None,None,None,None,9,side=over; rating=0; diff=1.4; line=7.5; L10=5o/5u/10g; streak=1u; opp_rank=9
bettingpros,NBA,Luke Kornet,PRA,2026-05-04 22:30:22,10.9,0.2,None,None,None,None,13,side=over; rating=0; diff=1.4; line=9.5; L10=8o/2u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Karl-Anthony Towns,PTS,2026-05-04 22:30:22,20.8,0.2,None,None,None,None,15,side=over; rating=0; diff=1.3; line=19.5; L10=6o/4u/10g; streak=2u; opp_rank=15
bettingpros,NBA,Victor Wembanyama,PA,2026-05-04 22:30:22,31.8,0.2,None,None,None,None,12,side=over; rating=0; diff=1.3; line=30.5; L10=5o/5u/10g; streak=3u; opp_rank=12
bettingpros,NBA,Josh Hart,PR,2026-05-04 22:30:22,21.8,0.2,None,None,None,None,19,side=over; rating=0; diff=1.3; line=20.5; L10=3o/7u/10g; streak=4u; opp_rank=19
bettingpros,NBA,Joel Embiid,PRA,2026-05-04 22:30:22,41.8,0.2,None,None,None,None,4,side=over; rating=0; diff=1.3; line=40.5; L10=6o/4u/10g; streak=1o; opp_rank=4
bettingpros,NBA,Karl-Anthony Towns,PRA,2026-05-04 22:30:22,36.8,0.2,None,None,None,None,19,side=over; rating=0; diff=1.3; line=35.5; L10=7o/3u/10g; streak=1u; opp_rank=19
bettingpros,NBA,Stephon Castle,PA,2026-05-04 22:30:22,25.6,0.2,None,None,None,None,12,side=over; rating=0; diff=1.1; line=24.5; L10=5o/5u/10g; streak=2u; opp_rank=12
bettingpros,NBA,Josh Hart,PA,2026-05-04 22:30:22,18.6,0.2,None,None,None,None,17,side=over; rating=0; diff=1.1; line=16.5; L10=2o/8u/10g; streak=4u; opp_rank=17
bettingpros,NBA,Stephon Castle,PR,2026-05-04 22:30:22,23.6,0.2,None,None,None,None,13,side=over; rating=0; diff=1.1; line=22.5; L10=6o/4u/10g; streak=2u; opp_rank=13
bettingpros,NBA,Keldon Johnson,RA,2026-05-04 22:30:22,5.6,0.2,None,None,None,None,13,side=over; rating=0; diff=1.1; line=4.5; L10=8o/2u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Rudy Gobert,REB,2026-05-04 22:30:22,12.5,0.2,None,None,None,None,8,side=over; rating=0; diff=1; line=11.5; L10=5o/5u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Keldon Johnson,REB,2026-05-04 22:30:22,4.5,0.2,None,None,None,None,13,side=over; rating=0; diff=1; line=3.5; L10=8o/2u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Jalen Brunson,REB,2026-05-04 22:30:22,3.5,0.2,None,None,None,None,22,side=over; rating=0; diff=1; line=2.5; L10=5o/5u/10g; streak=1u; opp_rank=22
bettingpros,NBA,Tyrese Maxey,FG3M,2026-05-04 22:30:22,3.5,0.2,None,None,None,None,20,side=over; rating=0; diff=1; line=2.5; L10=7o/3u/10g; streak=1u; opp_rank=20
bettingpros,NBA,Jaden McDaniels,PA,2026-05-04 22:30:22,18.5,0.2,None,None,None,None,8,side=over; rating=0; diff=1; line=17.5; L10=7o/3u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Victor Wembanyama,RA,2026-05-04 22:30:22,16.5,0.2,None,None,None,None,13,side=over; rating=0; diff=1; line=14.5; L10=7o/3u/10g; streak=2o; opp_rank=13
bettingpros,NBA,Jalen Brunson,RA,2026-05-04 22:30:22,10.5,0.2,None,None,None,None,22,side=over; rating=0; diff=1; line=9.5; L10=6o/4u/10g; streak=2o; opp_rank=22
bettingpros,NBA,OG Anunoby,PRA,2026-05-04 22:30:22,26.5,0.2,None,None,None,None,19,side=over; rating=0; diff=1; line=24.5; L10=7o/3u/10g; streak=4o; opp_rank=19
bettingpros,NBA,Luke Kornet,AST,2026-05-04 22:30:22,1.4,0.2,None,None,None,None,10,side=over; rating=0; diff=0.9; line=0.5; L10=9o/1u/10g; streak=1o; opp_rank=10
bettingpros,NBA,OG Anunoby,AST,2026-05-04 22:30:22,2.4,0.2,None,None,None,None,19,side=over; rating=0; diff=0.9; line=1.5; L10=4o/6u/10g; streak=1o; opp_rank=19
bettingpros,NBA,Josh Hart,AST,2026-05-04 22:30:22,5.4,0.2,None,None,None,None,19,side=over; rating=0; diff=0.9; line=4.5; L10=3o/7u/10g; streak=3u; opp_rank=19
bettingpros,NBA,Anthony Edwards,FG3M,2026-05-04 22:30:22,3.4,0.2,None,None,None,None,14,side=over; rating=0; diff=0.9; line=2.5; L10=4o/6u/10g; streak=2u; opp_rank=14
bettingpros,NBA,Devin Vassell,FG3M,2026-05-04 22:30:22,2.4,0.2,None,None,None,None,2,side=over; rating=0; diff=0.9; line=1.5; L10=5o/5u/10g; streak=2u; opp_rank=2
bettingpros,NBA,Mitchell Robinson,PR,2026-05-04 22:30:22,11.6,0.2,None,None,None,None,19,side=under; rating=0; diff=-0.9; line=12.5; L10=6o/4u/10g; streak=1u; opp_rank=19
bettingpros,NBA,Naz Reid,PRA,2026-05-04 22:30:22,21.4,0.2,None,None,None,None,8,side=over; rating=0; diff=0.9; line=21; L10=3o/5u/10g; streak=2o; opp_rank=8
bettingpros,NBA,Victor Wembanyama,PTS,2026-05-04 22:30:22,28.3,0.2,None,None,None,None,13,side=over; rating=0; diff=0.8; line=27.5; L10=5o/5u/10g; streak=3u; opp_rank=13
bettingpros,NBA,Devin Vassell,REB,2026-05-04 22:30:22,4.3,0.2,None,None,None,None,13,side=over; rating=0; diff=0.8; line=3.5; L10=7o/3u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Quentin Grimes,REB,2026-05-04 22:30:22,3.3,0.2,None,None,None,None,3,side=over; rating=0; diff=0.8; line=2.5; L10=7o/3u/10g; streak=2o; opp_rank=3
bettingpros,NBA,Miles McBride,REB,2026-05-04 22:30:22,2.3,0.2,None,None,None,None,22,side=over; rating=0; diff=0.8; line=1.5; L10=3o/7u/10g; streak=1u; opp_rank=22
bettingpros,NBA,Terrence Shannon Jr.,FG3M,2026-05-04 22:30:22,0.7,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.8; line=1.5; L10=3o/7u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Miles McBride,FG3M,2026-05-04 22:30:22,2.3,0.2,None,None,None,None,18,side=over; rating=0; diff=0.8; line=1.5; L10=6o/4u/10g; streak=2u; opp_rank=18
bettingpros,NBA,VJ Edgecombe,FG3M,2026-05-04 22:30:22,2.3,0.2,None,None,None,None,20,side=over; rating=0; diff=0.8; line=1.5; L10=4o/6u/10g; streak=1o; opp_rank=20
bettingpros,NBA,Luke Kornet,PA,2026-05-04 22:30:22,6.3,0.2,None,None,None,None,12,side=over; rating=0; diff=0.8; line=5.5; L10=7o/3u/10g; streak=1o; opp_rank=12
bettingpros,NBA,Naz Reid,PA,2026-05-04 22:30:22,15.3,0.2,None,None,None,None,8,side=over; rating=0; diff=0.8; line=14.5; L10=4o/6u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Rudy Gobert,RA,2026-05-04 22:30:22,14.3,0.2,None,None,None,None,9,side=over; rating=0; diff=0.8; line=13.5; L10=5o/5u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Naz Reid,RA,2026-05-04 22:30:22,8.3,0.2,None,None,None,None,9,side=over; rating=0; diff=0.8; line=7.5; L10=7o/3u/10g; streak=5o; opp_rank=9
bettingpros,NBA,OG Anunoby,RA,2026-05-04 22:30:22,8.3,0.2,None,None,None,None,22,side=over; rating=0; diff=0.8; line=7.5; L10=8o/2u/10g; streak=7o; opp_rank=22
bettingpros,NBA,Naz Reid,AST,2026-05-04 22:30:22,2.2,0.2,None,None,None,None,9,side=over; rating=0; diff=0.7; line=1.5; L10=5o/5u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Paul George,AST,2026-05-04 22:30:22,4.2,0.2,None,None,None,None,6,side=over; rating=0; diff=0.7; line=3.5; L10=3o/7u/10g; streak=2u; opp_rank=6
bettingpros,NBA,Harrison Barnes,PTS,2026-05-04 22:30:22,4.2,0.2,None,None,None,None,13,side=over; rating=0; diff=0.7; line=3.5; L10=5o/5u/10g; streak=3u; opp_rank=13
bettingpros,NBA,Andre Drummond,PTS,2026-05-04 22:30:22,3.2,0.2,None,None,None,None,5,side=over; rating=0; diff=0.7; line=2.5; L10=6o/4u/10g; streak=2u; opp_rank=5
bettingpros,NBA,OG Anunoby,PTS,2026-05-04 22:30:22,18.2,0.2,None,None,None,None,15,side=over; rating=0; diff=0.7; line=16.5; L10=7o/3u/10g; streak=4o; opp_rank=15
bettingpros,NBA,De'Aaron Fox,REB,2026-05-04 22:30:22,4.2,0.2,None,None,None,None,13,side=over; rating=0; diff=0.7; line=3.5; L10=6o/4u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Bones Hyland,REB,2026-05-04 22:30:22,0.8,0.2,None,None,None,None,8,side=under; rating=0; diff=-0.7; line=1.5; L10=5o/5u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Anthony Edwards,STL,2026-05-04 22:30:22,1.2,0.2,None,None,None,None,5,side=over; rating=0; diff=0.7; line=0.5; L10=5o/5u/10g; streak=2u; opp_rank=5
bettingpros,NBA,Karl-Anthony Towns,STL,2026-05-04 22:30:22,0.8,0.2,None,None,None,None,2,side=under; rating=0; diff=-0.7; line=1.5; L10=6o/4u/10g; streak=4o; opp_rank=2
bettingpros,NBA,Kelly Oubre Jr.,STL,2026-05-04 22:30:22,1.2,0.2,None,None,None,None,3,side=over; rating=0; diff=0.7; line=0.5; L10=5o/5u/10g; streak=1u; opp_rank=3
bettingpros,NBA,Joel Embiid,PA,2026-05-04 22:30:22,33.2,0.2,None,None,None,None,5,side=over; rating=0; diff=0.7; line=31.5; L10=5o/5u/10g; streak=1o; opp_rank=5
bettingpros,NBA,Naz Reid,PR,2026-05-04 22:30:22,19.2,0.2,None,None,None,None,7,side=over; rating=0; diff=0.7; line=18.5; L10=7o/3u/10g; streak=3o; opp_rank=7
bettingpros,NBA,Julian Champagnie,RA,2026-05-04 22:30:22,7.2,0.2,None,None,None,None,13,side=over; rating=0; diff=0.7; line=6.5; L10=7o/3u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Stephon Castle,RA,2026-05-04 22:30:22,13.2,0.2,None,None,None,None,13,side=over; rating=0; diff=0.7; line=12.5; L10=5o/5u/10g; streak=4u; opp_rank=13
bettingpros,NBA,Mike Conley,PRA,2026-05-04 22:30:22,9.8,0.2,None,None,None,None,8,side=under; rating=0; diff=-0.7; line=10.5; L10=5o/5u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Harrison Barnes,PRA,2026-05-04 22:30:22,6.2,0.2,None,None,None,None,13,side=over; rating=0; diff=0.7; line=5.5; L10=4o/6u/10g; streak=5u; opp_rank=13
bettingpros,NBA,Stephon Castle,PRA,2026-05-04 22:30:22,31.2,0.2,None,None,None,None,13,side=over; rating=0; diff=0.7; line=29.5; L10=7o/3u/10g; streak=2u; opp_rank=13
bettingpros,NBA,Julius Randle,AST,2026-05-04 22:30:22,5.1,0.2,None,None,None,None,9,side=over; rating=0; diff=0.6; line=4.5; L10=4o/6u/10g; streak=2o; opp_rank=9
bettingpros,NBA,Keldon Johnson,AST,2026-05-04 22:30:22,1.1,0.2,None,None,None,None,10,side=over; rating=0; diff=0.6; line=0.5; L10=9o/1u/10g; streak=9o; opp_rank=10
bettingpros,NBA,Jaden McDaniels,BLK,2026-05-04 22:30:22,1.1,0.2,None,None,None,None,13,side=over; rating=0; diff=0.6; line=0.5; L10=6o/4u/10g; streak=4o; opp_rank=13
bettingpros,NBA,Jaden McDaniels,STL,2026-05-04 22:30:22,1.1,0.2,None,None,None,None,5,side=over; rating=0; diff=0.6; line=0.5; L10=4o/6u/10g; streak=1o; opp_rank=5
bettingpros,NBA,Mikal Bridges,STL,2026-05-04 22:30:22,1.1,0.2,None,None,None,None,2,side=over; rating=0; diff=0.6; line=0.5; L10=5o/5u/10g; streak=1u; opp_rank=2
bettingpros,NBA,Naz Reid,FG3M,2026-05-04 22:30:22,2.1,0.2,None,None,None,None,14,side=over; rating=0; diff=0.6; line=1.5; L10=2o/8u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Julian Champagnie,FG3M,2026-05-04 22:30:22,2.1,0.2,None,None,None,None,2,side=over; rating=0; diff=0.6; line=1.5; L10=6o/4u/10g; streak=5o; opp_rank=2
bettingpros,NBA,OG Anunoby,PA,2026-05-04 22:30:22,20.6,0.2,None,None,None,None,17,side=over; rating=0; diff=0.6; line=18.5; L10=5o/5u/10g; streak=1o; opp_rank=17
bettingpros,NBA,Jalen Brunson,PA,2026-05-04 22:30:22,33.1,0.2,None,None,None,None,17,side=over; rating=0; diff=0.6; line=32.5; L10=5o/5u/10g; streak=1u; opp_rank=17
bettingpros,NBA,OG Anunoby,PR,2026-05-04 22:30:22,24.1,0.2,None,None,None,None,19,side=over; rating=0; diff=0.6; line=23.5; L10=7o/3u/10g; streak=4o; opp_rank=19
bettingpros,NBA,Mike Conley,RA,2026-05-04 22:30:22,4.9,0.2,None,None,None,None,9,side=under; rating=0; diff=-0.6; line=5.5; L10=1o/9u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Jaden McDaniels,PRA,2026-05-04 22:30:22,23.1,0.2,None,None,None,None,8,side=over; rating=0; diff=0.6; line=21.5; L10=8o/2u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Justin Edwards,PRA,2026-05-04 22:30:22,2.9,0.2,None,None,None,None,4,side=under; rating=0; diff=-0.6; line=3.5; L10=7o/3u/10g; streak=1u; opp_rank=4
bettingpros,NBA,Jalen Brunson,AST,2026-05-04 22:30:22,7,0.2,None,None,None,None,19,side=over; rating=0; diff=0.5; line=6.5; L10=7o/3u/10g; streak=2o; opp_rank=19
bettingpros,NBA,Naz Reid,BLK,2026-05-04 22:30:22,1,0.2,None,None,None,None,13,side=over; rating=0; diff=0.5; line=0.5; L10=4o/6u/10g; streak=2u; opp_rank=13
bettingpros,NBA,Victor Wembanyama,BLK,2026-05-04 22:30:22,3,0.2,None,None,None,None,2,side=under; rating=0; diff=-0.5; line=3.5; L10=3o/7u/10g; streak=2o; opp_rank=2
bettingpros,NBA,Mitchell Robinson,BLK,2026-05-04 22:30:22,1,0.2,None,None,None,None,20,side=over; rating=0; diff=0.5; line=0.5; L10=7o/3u/10g; streak=2o; opp_rank=20
bettingpros,NBA,Stephon Castle,PTS,2026-05-04 22:30:22,18,0.2,None,None,None,None,13,side=over; rating=0; diff=0.5; line=17.5; L10=5o/5u/10g; streak=2u; opp_rank=13
bettingpros,NBA,Anthony Edwards,REB,2026-05-04 22:30:22,5,0.2,None,None,None,None,8,side=over; rating=0; diff=0.5; line=4.5; L10=5o/5u/10g; streak=1u; opp_rank=8
bettingpros,NBA,Kelly Oubre Jr.,REB,2026-05-04 22:30:22,5,0.2,None,None,None,None,3,side=under; rating=0; diff=-0.5; line=5.5; L10=4o/6u/10g; streak=1u; opp_rank=3
bettingpros,NBA,Tyrese Maxey,REB,2026-05-04 22:30:22,4,0.2,None,None,None,None,3,side=over; rating=0; diff=0.5; line=3.5; L10=4o/6u/10g; streak=1o; opp_rank=3
bettingpros,NBA,Julius Randle,STL,2026-05-04 22:30:22,1,0.2,None,None,None,None,5,side=over; rating=0; diff=0.5; line=0.5; L10=4o/6u/10g; streak=2o; opp_rank=5
bettingpros,NBA,Ayo Dosunmu,FG3M,2026-05-04 22:30:22,2,0.2,None,None,None,None,14,side=over; rating=0; diff=0.5; line=1.5; L10=5o/5u/10g; streak=2o; opp_rank=14
bettingpros,NBA,Mike Conley,PA,2026-05-04 22:30:22,8,0.2,None,None,None,None,8,side=under; rating=0; diff=-0.5; line=8.5; L10=6o/4u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Karl-Anthony Towns,PA,2026-05-04 22:30:22,24,0.2,None,None,None,None,17,side=over; rating=0; diff=0.5; line=23.5; L10=6o/4u/10g; streak=2u; opp_rank=17
bettingpros,NBA,De'Aaron Fox,RA,2026-05-04 22:30:22,11,0.2,None,None,None,None,13,side=over; rating=0; diff=0.5; line=9.5; L10=7o/3u/10g; streak=3o; opp_rank=13
bettingpros,NBA,Devin Vassell,RA,2026-05-04 22:30:22,7,0.2,None,None,None,None,13,side=over; rating=0; diff=0.5; line=6.5; L10=6o/4u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Joel Embiid,RA,2026-05-04 22:30:22,13,0.2,None,None,None,None,3,side=under; rating=0; diff=-0.5; line=13.5; L10=5o/5u/10g; streak=2o; opp_rank=3
bettingpros,NBA,Karl-Anthony Towns,RA,2026-05-04 22:30:22,16,0.2,None,None,None,None,22,side=over; rating=0; diff=0.5; line=15.5; L10=7o/3u/10g; streak=4o; opp_rank=22
bettingpros,NBA,Josh Hart,RA,2026-05-04 22:30:22,14,0.2,None,None,None,None,22,side=over; rating=0; diff=0.5; line=13.5; L10=4o/6u/10g; streak=3u; opp_rank=22
bettingpros,NBA,Mike Conley,AST,2026-05-04 22:30:22,3.1,0.2,None,None,None,None,9,side=under; rating=0; diff=-0.4; line=3.5; L10=3o/7u/10g; streak=1u; opp_rank=9
bettingpros,NBA,Jaden McDaniels,AST,2026-05-04 22:30:22,2.9,0.2,None,None,None,None,9,side=over; rating=0; diff=0.4; line=2.5; L10=6o/4u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Anthony Edwards,AST,2026-05-04 22:30:22,3.9,0.2,None,None,None,None,9,side=over; rating=0; diff=0.4; line=3; L10=5o/2u/10g; streak=2u; opp_rank=9
bettingpros,NBA,Terrence Shannon Jr.,AST,2026-05-04 22:30:22,0.9,0.2,None,None,None,None,9,side=over; rating=0; diff=0.4; line=0.5; L10=6o/4u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Jose Alvarado,AST,2026-05-04 22:30:22,1.9,0.2,None,None,None,None,19,side=over; rating=0; diff=0.4; line=1.5; L10=8o/2u/10g; streak=1o; opp_rank=19
bettingpros,NBA,Jalen Brunson,BLK,2026-05-04 22:30:22,0.1,0.2,None,None,None,None,20,side=under; rating=0; diff=-0.4; line=0.5; L10=0o/10u/10g; streak=16u; opp_rank=20
bettingpros,NBA,Mike Conley,PTS,2026-05-04 22:30:22,4.9,0.2,None,None,None,None,6,side=over; rating=0; diff=0.4; line=4.5; L10=6o/4u/10g; streak=1o; opp_rank=6
bettingpros,NBA,Naz Reid,PTS,2026-05-04 22:30:22,13.1,0.2,None,None,None,None,6,side=under; rating=0; diff=-0.4; line=13.5; L10=4o/6u/10g; streak=1o; opp_rank=6
bettingpros,NBA,Jalen Brunson,PTS,2026-05-04 22:30:22,26.1,0.2,None,None,None,None,15,side=under; rating=0; diff=-0.4; line=26.5; L10=5o/5u/10g; streak=1u; opp_rank=15
bettingpros,NBA,Julius Randle,REB,2026-05-04 22:30:22,6.9,0.2,None,None,None,None,8,side=over; rating=0; diff=0.4; line=6.5; L10=6o/4u/10g; streak=1u; opp_rank=8
bettingpros,NBA,Terrence Shannon Jr.,REB,2026-05-04 22:30:22,1.1,0.2,None,None,None,None,8,side=under; rating=0; diff=-0.4; line=1.5; L10=4o/6u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Andre Drummond,REB,2026-05-04 22:30:22,3.9,0.2,None,None,None,None,3,side=over; rating=0; diff=0.4; line=3.5; L10=8o/2u/10g; streak=1u; opp_rank=3
bettingpros,NBA,OG Anunoby,REB,2026-05-04 22:30:22,5.9,0.2,None,None,None,None,22,side=over; rating=0; diff=0.4; line=5.5; L10=7o/3u/10g; streak=6o; opp_rank=22
bettingpros,NBA,Mitchell Robinson,REB,2026-05-04 22:30:22,7.1,0.2,None,None,None,None,22,side=under; rating=0; diff=-0.4; line=7.5; L10=3o/7u/10g; streak=2u; opp_rank=22
