source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Victor Wembanyama,PR,2026-05-10 22:45:48,43.9,1.0,0.69497538235393,0.30502461764607003,5,1,14,side=over; rating=5; diff=4.4; line=39.5; L10=4o/6u/10g; streak=1o; opp_rank=14
bettingpros,NBA,Julian Champagnie,FG3M,2026-05-10 22:45:48,2.2,0.2,None,None,None,None,2,side=over; rating=0; diff=0.7; line=1.5; L10=8o/2u/10g; streak=8o; opp_rank=2
bettingpros,NBA,Naz Reid,RA,2026-05-10 22:45:48,9.2,0.2,None,None,None,None,9,side=over; rating=0; diff=0.7; line=8.5; L10=6o/4u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Ayo Dosunmu,RA,2026-05-10 22:45:48,8.2,0.2,None,None,None,None,9,side=over; rating=0; diff=0.7; line=7.5; L10=3o/7u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Naz Reid,BLK,2026-05-10 22:45:48,1.1,0.2,None,None,None,None,13,side=over; rating=0; diff=0.6; line=0.5; L10=4o/6u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Jaden McDaniels,BLK,2026-05-10 22:45:48,1.1,0.2,None,None,None,None,13,side=over; rating=0; diff=0.6; line=0.5; L10=8o/2u/10g; streak=7o; opp_rank=13
bettingpros,NBA,Harrison Barnes,PTS,2026-05-10 22:45:48,3.1,0.2,None,None,None,None,13,side=over; rating=0; diff=0.6; line=2.5; L10=5o/5u/10g; streak=1u; opp_rank=13
bettingpros,NBA,De'Aaron Fox,REB,2026-05-10 22:45:48,4.1,0.2,None,None,None,None,15,side=over; rating=0; diff=0.6; line=3.5; L10=4o/6u/10g; streak=4u; opp_rank=15
bettingpros,NBA,Ayo Dosunmu,FG3M,2026-05-10 22:45:48,2.1,0.2,None,None,None,None,14,side=over; rating=0; diff=0.6; line=1.5; L10=4o/6u/10g; streak=1o; opp_rank=14
bettingpros,NBA,Anthony Edwards,RA,2026-05-10 22:45:48,9.9,0.2,None,None,None,None,9,side=under; rating=0; diff=-0.6; line=10.5; L10=3o/7u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Luke Kornet,PRA,2026-05-10 22:45:48,8.1,0.2,None,None,None,None,13,side=over; rating=0; diff=0.6; line=7.5; L10=7o/3u/10g; streak=3u; opp_rank=13
bettingpros,NBA,Jaden McDaniels,AST,2026-05-10 22:45:48,3,0.2,None,None,None,None,9,side=over; rating=0; diff=0.5; line=2.5; L10=6o/4u/10g; streak=1u; opp_rank=9
bettingpros,NBA,Dylan Harper,AST,2026-05-10 22:45:48,4,0.2,None,None,None,None,10,side=over; rating=0; diff=0.5; line=3.5; L10=3o/7u/10g; streak=1u; opp_rank=10
bettingpros,NBA,Julius Randle,REB,2026-05-10 22:45:48,7,0.2,None,None,None,None,8,side=over; rating=0; diff=0.5; line=6.5; L10=5o/5u/10g; streak=2u; opp_rank=8
bettingpros,NBA,Ayo Dosunmu,REB,2026-05-10 22:45:48,4,0.2,None,None,None,None,8,side=over; rating=0; diff=0.5; line=3.5; L10=5o/5u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Julius Randle,STL,2026-05-10 22:45:48,1,0.2,None,None,None,None,5,side=over; rating=0; diff=0.5; line=0.5; L10=5o/5u/10g; streak=5o; opp_rank=5
bettingpros,NBA,Naz Reid,STL,2026-05-10 22:45:48,1,0.2,None,None,None,None,5,side=over; rating=0; diff=0.5; line=0.5; L10=4o/6u/10g; streak=3u; opp_rank=5
bettingpros,NBA,Devin Vassell,STL,2026-05-10 22:45:48,1,0.2,None,None,None,None,14,side=over; rating=0; diff=0.5; line=0.5; L10=7o/3u/10g; streak=1o; opp_rank=14
bettingpros,NBA,Terrence Shannon Jr.,AST,2026-05-10 22:45:48,1.9,0.2,None,None,None,None,9,side=over; rating=0; diff=0.4; line=1.5; L10=3o/7u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Jaden McDaniels,REB,2026-05-10 22:45:48,4.9,0.2,None,None,None,None,8,side=over; rating=0; diff=0.4; line=4.5; L10=7o/3u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Ayo Dosunmu,STL,2026-05-10 22:45:48,0.9,0.2,None,None,None,None,5,side=over; rating=0; diff=0.4; line=0.5; L10=5o/5u/10g; streak=3o; opp_rank=5
bettingpros,NBA,Keldon Johnson,FG3M,2026-05-10 22:45:48,0.9,0.2,None,None,None,None,2,side=over; rating=0; diff=0.4; line=0.5; L10=8o/2u/10g; streak=1o; opp_rank=2
bettingpros,NBA,Victor Wembanyama,FG3M,2026-05-10 22:45:48,2.1,0.2,None,None,None,None,2,side=under; rating=0; diff=-0.4; line=2.5; L10=2o/8u/10g; streak=1o; opp_rank=2
bettingpros,NBA,Jaden McDaniels,RA,2026-05-10 22:45:48,7.9,0.2,None,None,None,None,9,side=over; rating=0; diff=0.4; line=7.5; L10=6o/4u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Devin Vassell,AST,2026-05-10 22:45:48,2.8,0.2,None,None,None,None,10,side=over; rating=0; diff=0.3; line=2.5; L10=5o/5u/10g; streak=3o; opp_rank=10
bettingpros,NBA,Julius Randle,BLK,2026-05-10 22:45:48,0.2,0.2,None,None,None,None,13,side=under; rating=0; diff=-0.3; line=0.5; L10=1o/9u/10g; streak=6u; opp_rank=13
bettingpros,NBA,Anthony Edwards,BLK,2026-05-10 22:45:48,0.8,0.2,None,None,None,None,13,side=over; rating=0; diff=0.3; line=0.5; L10=5o/5u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Rudy Gobert,REB,2026-05-10 22:45:48,10.8,0.2,None,None,None,None,8,side=over; rating=0; diff=0.3; line=10.5; L10=4o/6u/10g; streak=3u; opp_rank=8
bettingpros,NBA,Naz Reid,REB,2026-05-10 22:45:48,6.8,0.2,None,None,None,None,8,side=over; rating=0; diff=0.3; line=6.5; L10=7o/3u/10g; streak=6o; opp_rank=8
bettingpros,NBA,Jaden McDaniels,STL,2026-05-10 22:45:48,1.2,0.2,None,None,None,None,5,side=under; rating=0; diff=-0.3; line=1.5; L10=1o/9u/10g; streak=3u; opp_rank=5
bettingpros,NBA,Julian Champagnie,STL,2026-05-10 22:45:48,0.8,0.2,None,None,None,None,14,side=over; rating=0; diff=0.3; line=0.5; L10=7o/3u/10g; streak=2o; opp_rank=14
bettingpros,NBA,Victor Wembanyama,STL,2026-05-10 22:45:48,1.2,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.3; line=1.5; L10=1o/9u/10g; streak=4u; opp_rank=14
bettingpros,NBA,Dylan Harper,STL,2026-05-10 22:45:48,0.8,0.2,None,None,None,None,14,side=over; rating=0; diff=0.3; line=0.5; L10=7o/3u/10g; streak=2o; opp_rank=14
bettingpros,NBA,De'Aaron Fox,FG3M,2026-05-10 22:45:48,1.8,0.2,None,None,None,None,2,side=over; rating=0; diff=0.3; line=1.5; L10=6o/4u/10g; streak=1u; opp_rank=2
bettingpros,NBA,Dylan Harper,FG3M,2026-05-10 22:45:48,0.8,0.2,None,None,None,None,2,side=over; rating=0; diff=0.3; line=0.5; L10=4o/6u/10g; streak=1u; opp_rank=2
bettingpros,NBA,Anthony Edwards,AST,2026-05-10 22:45:48,4.3,0.2,None,None,None,None,9,side=under; rating=0; diff=-0.2; line=4.5; L10=2o/8u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Victor Wembanyama,AST,2026-05-10 22:45:48,3.7,0.2,None,None,None,None,10,side=over; rating=0; diff=0.2; line=3.5; L10=3o/7u/10g; streak=2u; opp_rank=10
bettingpros,NBA,De'Aaron Fox,BLK,2026-05-10 22:45:48,0.3,0.2,None,None,None,None,6,side=under; rating=0; diff=-0.2; line=0.5; L10=2o/8u/10g; streak=4u; opp_rank=6
bettingpros,NBA,Ayo Dosunmu,BLK,2026-05-10 22:45:48,0.3,0.2,None,None,None,None,13,side=under; rating=0; diff=-0.2; line=0.5; L10=2o/8u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Stephon Castle,BLK,2026-05-10 22:45:48,0.3,0.2,None,None,None,None,6,side=under; rating=0; diff=-0.2; line=0.5; L10=2o/8u/10g; streak=3u; opp_rank=6
bettingpros,NBA,Rudy Gobert,STL,2026-05-10 22:45:48,0.7,0.2,None,None,None,None,5,side=over; rating=0; diff=0.2; line=0.5; L10=7o/3u/10g; streak=2u; opp_rank=5
bettingpros,NBA,De'Aaron Fox,STL,2026-05-10 22:45:48,1.3,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.2; line=1.5; L10=2o/8u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Anthony Edwards,STL,2026-05-10 22:45:48,1.3,0.2,None,None,None,None,5,side=under; rating=0; diff=-0.2; line=1.5; L10=1o/9u/10g; streak=8u; opp_rank=5
bettingpros,NBA,Stephon Castle,STL,2026-05-10 22:45:48,1.3,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.2; line=1.5; L10=3o/7u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Stephon Castle,FG3M,2026-05-10 22:45:48,1.3,0.2,None,None,None,None,2,side=under; rating=0; diff=-0.2; line=1.5; L10=6o/4u/10g; streak=2u; opp_rank=2
bettingpros,NBA,Terrence Shannon Jr.,RA,2026-05-10 22:45:48,4.3,0.2,None,None,None,None,9,side=under; rating=0; diff=-0.2; line=4.5; L10=5o/5u/10g; streak=1u; opp_rank=9
bettingpros,NBA,Rudy Gobert,AST,2026-05-10 22:45:48,1.6,0.2,None,None,None,None,9,side=over; rating=0; diff=0.1; line=1.5; L10=8o/2u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Julian Champagnie,AST,2026-05-10 22:45:48,1.6,0.2,None,None,None,None,10,side=over; rating=0; diff=0.1; line=1.5; L10=4o/6u/10g; streak=2o; opp_rank=10
bettingpros,NBA,Rudy Gobert,BLK,2026-05-10 22:45:48,1.6,0.2,None,None,None,None,13,side=over; rating=0; diff=0.1; line=1.5; L10=5o/5u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Luke Kornet,BLK,2026-05-10 22:45:48,0.6,0.2,None,None,None,None,6,side=over; rating=0; diff=0.1; line=0.5; L10=4o/6u/10g; streak=2o; opp_rank=6
bettingpros,NBA,Devin Vassell,BLK,2026-05-10 22:45:48,0.4,0.2,None,None,None,None,6,side=under; rating=0; diff=-0.1; line=0.5; L10=6o/4u/10g; streak=2u; opp_rank=6
bettingpros,NBA,Julian Champagnie,BLK,2026-05-10 22:45:48,0.4,0.2,None,None,None,None,6,side=under; rating=0; diff=-0.1; line=0.5; L10=5o/5u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Luke Kornet,REB,2026-05-10 22:45:48,3.4,0.2,None,None,None,None,15,side=under; rating=0; diff=-0.1; line=3.5; L10=6o/4u/10g; streak=4u; opp_rank=15
bettingpros,NBA,Anthony Edwards,REB,2026-05-10 22:45:48,5.6,0.2,None,None,None,None,8,side=over; rating=0; diff=0.1; line=5.5; L10=3o/7u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Devin Vassell,REB,2026-05-10 22:45:48,4.6,0.2,None,None,None,None,15,side=over; rating=0; diff=0.1; line=4.5; L10=6o/4u/10g; streak=3o; opp_rank=15
bettingpros,NBA,Terrence Shannon Jr.,REB,2026-05-10 22:45:48,2.4,0.2,None,None,None,None,8,side=under; rating=0; diff=-0.1; line=2.5; L10=4o/6u/10g; streak=1u; opp_rank=8
bettingpros,NBA,Dylan Harper,REB,2026-05-10 22:45:48,3.6,0.2,None,None,None,None,15,side=over; rating=0; diff=0.1; line=3.5; L10=6o/4u/10g; streak=3o; opp_rank=15
bettingpros,NBA,Keldon Johnson,STL,2026-05-10 22:45:48,0.4,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.1; line=0.5; L10=5o/5u/10g; streak=1o; opp_rank=14
bettingpros,NBA,Terrence Shannon Jr.,STL,2026-05-10 22:45:48,0.6,0.2,None,None,None,None,5,side=over; rating=0; diff=0.1; line=0.5; L10=2o/8u/10g; streak=3u; opp_rank=5
bettingpros,NBA,Mike Conley,FG3M,2026-05-10 22:45:48,0.6,0.2,None,None,None,None,14,side=over; rating=0; diff=0.1; line=0.5; L10=6o/4u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Julius Randle,FG3M,2026-05-10 22:45:48,1.4,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.1; line=1.5; L10=5o/5u/10g; streak=2u; opp_rank=14
bettingpros,NBA,Jaden McDaniels,FG3M,2026-05-10 22:45:48,1.6,0.2,None,None,None,None,14,side=over; rating=0; diff=0.1; line=1.5; L10=1o/9u/10g; streak=1o; opp_rank=14
bettingpros,NBA,Rudy Gobert,RA,2026-05-10 22:45:48,12.4,0.2,None,None,None,None,9,side=under; rating=0; diff=-0.1; line=12.5; L10=5o/5u/10g; streak=2u; opp_rank=9
bettingpros,NBA,Harrison Barnes,PRA,2026-05-10 22:45:48,4.6,0.2,None,None,None,None,13,side=over; rating=0; diff=0.1; line=4.5; L10=5o/5u/10g; streak=1u; opp_rank=13
