source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Cade Cunningham,REB,2026-05-07 22:30:39,6.5,0.2,None,None,None,None,9,side=over; rating=0; diff=1; line=5.5; L10=4o/6u/10g; streak=2u; opp_rank=9
bettingpros,NBA,Isaiah Hartenstein,PA,2026-05-07 22:30:39,12.5,0.2,None,None,None,None,13,side=over; rating=0; diff=1; line=10.5; L10=5o/5u/10g; streak=2o; opp_rank=13
bettingpros,NBA,Chet Holmgren,PR,2026-05-07 22:30:39,27.5,0.2,None,None,None,None,8,side=over; rating=0; diff=1; line=25.5; L10=5o/5u/10g; streak=2o; opp_rank=8
bettingpros,NBA,Tobias Harris,RA,2026-05-07 22:30:39,9.5,0.2,None,None,None,None,15,side=over; rating=0; diff=1; line=8.5; L10=7o/3u/10g; streak=4o; opp_rank=15
bettingpros,NBA,Duncan Robinson,AST,2026-05-07 22:30:39,2.4,0.2,None,None,None,None,16,side=over; rating=0; diff=0.9; line=1.5; L10=7o/3u/10g; streak=3o; opp_rank=16
bettingpros,NBA,Isaiah Joe,PTS,2026-05-07 22:30:39,5.6,0.2,None,None,None,None,11,side=under; rating=0; diff=-0.9; line=6.5; L10=6o/4u/10g; streak=1o; opp_rank=11
bettingpros,NBA,Ajay Mitchell,PTS,2026-05-07 22:30:39,16.4,0.2,None,None,None,None,11,side=over; rating=0; diff=0.9; line=15.5; L10=2o/8u/10g; streak=2o; opp_rank=11
bettingpros,NBA,Rui Hachimura,REB,2026-05-07 22:30:39,4.4,0.2,None,None,None,None,20,side=over; rating=0; diff=0.9; line=3.5; L10=5o/5u/10g; streak=1u; opp_rank=20
bettingpros,NBA,Jaylin Williams,REB,2026-05-07 22:30:39,4.4,0.2,None,None,None,None,5,side=over; rating=0; diff=0.9; line=3.5; L10=7o/3u/10g; streak=1o; opp_rank=5
bettingpros,NBA,Dean Wade,REB,2026-05-07 22:30:39,4.4,0.2,None,None,None,None,4,side=over; rating=0; diff=0.9; line=3.5; L10=6o/4u/10g; streak=1u; opp_rank=4
bettingpros,NBA,Daniss Jenkins,STL,2026-05-07 22:30:39,1.4,0.2,None,None,None,None,18,side=over; rating=0; diff=0.9; line=0.5; L10=4o/6u/10g; streak=1o; opp_rank=18
bettingpros,NBA,Rui Hachimura,FG3M,2026-05-07 22:30:39,2.4,0.2,None,None,None,None,28,side=over; rating=0; diff=0.9; line=1.5; L10=9o/1u/10g; streak=3o; opp_rank=28
bettingpros,NBA,Tobias Harris,PA,2026-05-07 22:30:39,19.6,0.2,None,None,None,None,15,side=under; rating=0; diff=-0.9; line=20.5; L10=6o/4u/10g; streak=4o; opp_rank=15
bettingpros,NBA,Alex Caruso,PR,2026-05-07 22:30:39,10.4,0.2,None,None,None,None,8,side=over; rating=0; diff=0.9; line=9.5; L10=2o/8u/10g; streak=1u; opp_rank=8
bettingpros,NBA,Rui Hachimura,PR,2026-05-07 22:30:39,18.4,0.2,None,None,None,None,6,side=over; rating=0; diff=0.9; line=16.5; L10=5o/5u/10g; streak=2o; opp_rank=6
bettingpros,NBA,Dennis Schroder,PR,2026-05-07 22:30:39,8.4,0.2,None,None,None,None,3,side=over; rating=0; diff=0.9; line=7.5; L10=4o/6u/10g; streak=1o; opp_rank=3
bettingpros,NBA,Rui Hachimura,RA,2026-05-07 22:30:39,5.4,0.2,None,None,None,None,14,side=over; rating=0; diff=0.9; line=4.5; L10=5o/5u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Ausar Thompson,RA,2026-05-07 22:30:39,11.4,0.2,None,None,None,None,15,side=over; rating=0; diff=0.9; line=10.5; L10=5o/5u/10g; streak=1o; opp_rank=15
bettingpros,NBA,Rui Hachimura,PRA,2026-05-07 22:30:39,19.4,0.2,None,None,None,None,6,side=over; rating=0; diff=0.9; line=17.5; L10=6o/4u/10g; streak=2o; opp_rank=6
bettingpros,NBA,Luguentz Dort,PRA,2026-05-07 22:30:39,12.4,0.2,None,None,None,None,11,side=over; rating=0; diff=0.9; line=11.5; L10=4o/6u/10g; streak=1o; opp_rank=11
bettingpros,NBA,Isaiah Joe,PRA,2026-05-07 22:30:39,7.6,0.2,None,None,None,None,11,side=under; rating=0; diff=-0.9; line=8.5; L10=6o/4u/10g; streak=1o; opp_rank=11
bettingpros,NBA,Chet Holmgren,PRA,2026-05-07 22:30:39,29.4,0.2,None,None,None,None,11,side=over; rating=0; diff=0.9; line=27.5; L10=4o/6u/10g; streak=2o; opp_rank=11
bettingpros,NBA,James Harden,AST,2026-05-07 22:30:39,7.3,0.2,None,None,None,None,1,side=over; rating=0; diff=0.8; line=6.5; L10=4o/6u/10g; streak=1o; opp_rank=1
bettingpros,NBA,Alex Caruso,PTS,2026-05-07 22:30:39,7.3,0.2,None,None,None,None,11,side=over; rating=0; diff=0.8; line=6.5; L10=3o/7u/10g; streak=1u; opp_rank=11
bettingpros,NBA,Luke Kennard,REB,2026-05-07 22:30:39,3.3,0.2,None,None,None,None,20,side=over; rating=0; diff=0.8; line=3; L10=4o/3u/10g; streak=4o; opp_rank=20
bettingpros,NBA,Dean Wade,FG3M,2026-05-07 22:30:39,1.3,0.2,None,None,None,None,8,side=over; rating=0; diff=0.8; line=1; L10=2o/0u/10g; streak=2o; opp_rank=8
bettingpros,NBA,Marcus Smart,PA,2026-05-07 22:30:39,13.7,0.2,None,None,None,None,3,side=under; rating=0; diff=-0.8; line=14.5; L10=5o/5u/10g; streak=1o; opp_rank=3
bettingpros,NBA,Marcus Smart,RA,2026-05-07 22:30:39,6.7,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.8; line=7.5; L10=7o/3u/10g; streak=2o; opp_rank=14
bettingpros,NBA,Ajay Mitchell,RA,2026-05-07 22:30:39,8.3,0.2,None,None,None,None,7,side=over; rating=0; diff=0.8; line=7.5; L10=4o/6u/10g; streak=1u; opp_rank=7
bettingpros,NBA,Jared McCain,PRA,2026-05-07 22:30:39,7.3,0.2,None,None,None,None,11,side=over; rating=0; diff=0.8; line=6.5; L10=5o/5u/10g; streak=1o; opp_rank=11
bettingpros,NBA,Cason Wallace,AST,2026-05-07 22:30:39,2.2,0.2,None,None,None,None,17,side=over; rating=0; diff=0.7; line=1.5; L10=7o/3u/10g; streak=6o; opp_rank=17
bettingpros,NBA,Dean Wade,PTS,2026-05-07 22:30:39,6.2,0.2,None,None,None,None,3,side=over; rating=0; diff=0.7; line=4.5; L10=8o/2u/10g; streak=6o; opp_rank=3
bettingpros,NBA,LeBron James,REB,2026-05-07 22:30:39,7.2,0.2,None,None,None,None,20,side=over; rating=0; diff=0.7; line=6.5; L10=5o/5u/10g; streak=1u; opp_rank=20
bettingpros,NBA,Luguentz Dort,REB,2026-05-07 22:30:39,3.2,0.2,None,None,None,None,5,side=over; rating=0; diff=0.7; line=2.5; L10=4o/6u/10g; streak=1o; opp_rank=5
bettingpros,NBA,Jarrett Allen,REB,2026-05-07 22:30:39,8.2,0.2,None,None,None,None,4,side=over; rating=0; diff=0.7; line=7.5; L10=4o/6u/10g; streak=1u; opp_rank=4
bettingpros,NBA,Isaiah Stewart,REB,2026-05-07 22:30:39,3.2,0.2,None,None,None,None,9,side=over; rating=0; diff=0.7; line=2.5; L10=8o/2u/10g; streak=1o; opp_rank=9
bettingpros,NBA,LeBron James,STL,2026-05-07 22:30:39,1.2,0.2,None,None,None,None,4,side=over; rating=0; diff=0.7; line=0.5; L10=8o/2u/10g; streak=1o; opp_rank=4
bettingpros,NBA,Jaylin Williams,FG3M,2026-05-07 22:30:39,1.2,0.2,None,None,None,None,10,side=over; rating=0; diff=0.7; line=0.5; L10=8o/2u/10g; streak=3o; opp_rank=10
bettingpros,NBA,Donovan Mitchell,FG3M,2026-05-07 22:30:39,3.2,0.2,None,None,None,None,8,side=over; rating=0; diff=0.7; line=2.5; L10=5o/5u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Jaylon Tyson,FG3M,2026-05-07 22:30:39,1.2,0.2,None,None,None,None,8,side=over; rating=0; diff=0.7; line=0.5; L10=6o/4u/10g; streak=1u; opp_rank=8
bettingpros,NBA,Luguentz Dort,PA,2026-05-07 22:30:39,9.2,0.2,None,None,None,None,13,side=over; rating=0; diff=0.7; line=8.5; L10=6o/4u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Marcus Smart,PR,2026-05-07 22:30:39,13.8,0.2,None,None,None,None,6,side=under; rating=0; diff=-0.7; line=14.5; L10=5o/5u/10g; streak=1o; opp_rank=6
bettingpros,NBA,Luguentz Dort,PR,2026-05-07 22:30:39,11.2,0.2,None,None,None,None,8,side=over; rating=0; diff=0.7; line=10.5; L10=2o/8u/10g; streak=2u; opp_rank=8
bettingpros,NBA,Ajay Mitchell,PR,2026-05-07 22:30:39,20.2,0.2,None,None,None,None,8,side=over; rating=0; diff=0.7; line=19.5; L10=3o/7u/10g; streak=3o; opp_rank=8
bettingpros,NBA,Jaylin Williams,AST,2026-05-07 22:30:39,2.1,0.2,None,None,None,None,17,side=over; rating=0; diff=0.6; line=1.5; L10=6o/4u/10g; streak=1o; opp_rank=17
bettingpros,NBA,Ausar Thompson,AST,2026-05-07 22:30:39,4.1,0.2,None,None,None,None,16,side=over; rating=0; diff=0.6; line=3.5; L10=6o/4u/10g; streak=4o; opp_rank=16
bettingpros,NBA,Deandre Ayton,BLK,2026-05-07 22:30:39,1.1,0.2,None,None,None,None,5,side=over; rating=0; diff=0.6; line=1; L10=2o/1u/10g; streak=1o; opp_rank=5
bettingpros,NBA,Evan Mobley,BLK,2026-05-07 22:30:39,2.1,0.2,None,None,None,None,28,side=over; rating=0; diff=0.6; line=1.5; L10=3o/7u/10g; streak=1o; opp_rank=28
bettingpros,NBA,Alex Caruso,REB,2026-05-07 22:30:39,3.1,0.2,None,None,None,None,5,side=over; rating=0; diff=0.6; line=2.5; L10=5o/5u/10g; streak=1u; opp_rank=5
bettingpros,NBA,Deandre Ayton,REB,2026-05-07 22:30:39,9.1,0.2,None,None,None,None,20,side=over; rating=0; diff=0.6; line=8.5; L10=6o/4u/10g; streak=4o; opp_rank=20
bettingpros,NBA,Austin Reaves,REB,2026-05-07 22:30:39,5.1,0.2,None,None,None,None,20,side=over; rating=0; diff=0.6; line=4.5; L10=4o/6u/10g; streak=1o; opp_rank=20
bettingpros,NBA,Chet Holmgren,REB,2026-05-07 22:30:39,9.1,0.2,None,None,None,None,5,side=over; rating=0; diff=0.6; line=8.5; L10=5o/5u/10g; streak=2o; opp_rank=5
bettingpros,NBA,Jalen Duren,REB,2026-05-07 22:30:39,10.9,0.2,None,None,None,None,9,side=under; rating=0; diff=-0.6; line=11.5; L10=2o/8u/10g; streak=2o; opp_rank=9
bettingpros,NBA,Jaylon Tyson,REB,2026-05-07 22:30:39,3.1,0.2,None,None,None,None,4,side=over; rating=0; diff=0.6; line=3; L10=6o/4u/10g; streak=3o; opp_rank=4
bettingpros,NBA,Cason Wallace,PA,2026-05-07 22:30:39,9.1,0.2,None,None,None,None,13,side=over; rating=0; diff=0.6; line=8.5; L10=4o/6u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Isaiah Hartenstein,RA,2026-05-07 22:30:39,12.1,0.2,None,None,None,None,7,side=over; rating=0; diff=0.6; line=11.5; L10=4o/6u/10g; streak=2o; opp_rank=7
bettingpros,NBA,Rui Hachimura,AST,2026-05-07 22:30:39,1,0.2,None,None,None,None,7,side=over; rating=0; diff=0.5; line=0.5; L10=7o/3u/10g; streak=2o; opp_rank=7
bettingpros,NBA,Jarrett Allen,BLK,2026-05-07 22:30:39,1,0.2,None,None,None,None,28,side=under; rating=0; diff=-0.5; line=1.5; L10=7o/3u/10g; streak=1u; opp_rank=28
