source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Karl-Anthony Towns,RA,2026-05-08 22:40:52,14.9,0.2,None,None,None,None,22,side=under; rating=0; diff=-1.6; line=16.5; L10=5o/5u/10g; streak=1o; opp_rank=22
bettingpros,NBA,Jaden McDaniels,PTS,2026-05-08 22:40:52,16,0.2,None,None,None,None,6,side=over; rating=0; diff=1.5; line=14.5; L10=6o/4u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Stephon Castle,PTS,2026-05-08 22:40:52,18,0.2,None,None,None,None,13,side=over; rating=0; diff=1.5; line=16.5; L10=7o/3u/10g; streak=2o; opp_rank=13
bettingpros,NBA,Keldon Johnson,PR,2026-05-08 22:40:52,15,0.2,None,None,None,None,13,side=over; rating=0; diff=1.5; line=13.5; L10=4o/6u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Kelly Oubre Jr.,PR,2026-05-08 22:40:52,19,0.2,None,None,None,None,4,side=over; rating=0; diff=1.5; line=17.5; L10=4o/6u/10g; streak=1o; opp_rank=4
bettingpros,NBA,VJ Edgecombe,RA,2026-05-08 22:40:52,10,0.2,None,None,None,None,3,side=over; rating=0; diff=1.5; line=8.5; L10=6o/4u/10g; streak=2u; opp_rank=3
bettingpros,NBA,Keldon Johnson,PRA,2026-05-08 22:40:52,16,0.2,None,None,None,None,13,side=over; rating=0; diff=1.5; line=14.5; L10=4o/6u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Naz Reid,PRA,2026-05-08 22:40:52,22,0.2,None,None,None,None,7,side=over; rating=0; diff=1.5; line=20.5; L10=6o/4u/10g; streak=1u; opp_rank=7
bettingpros,NBA,Jaden McDaniels,PA,2026-05-08 22:40:52,18.9,0.2,None,None,None,None,7,side=over; rating=0; diff=1.4; line=17.5; L10=6o/4u/10g; streak=1u; opp_rank=7
bettingpros,NBA,Jordan Clarkson,PA,2026-05-08 22:40:52,5.1,0.2,None,None,None,None,17,side=under; rating=0; diff=-1.4; line=6.5; L10=7o/3u/10g; streak=2u; opp_rank=17
bettingpros,NBA,Harrison Barnes,PTS,2026-05-08 22:40:52,3.8,0.2,None,None,None,None,13,side=over; rating=0; diff=1.3; line=2.5; L10=6o/4u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Naz Reid,PR,2026-05-08 22:40:52,19.8,0.2,None,None,None,None,7,side=over; rating=0; diff=1.3; line=18.5; L10=7o/3u/10g; streak=1u; opp_rank=7
bettingpros,NBA,Jaden McDaniels,PR,2026-05-08 22:40:52,20.8,0.2,None,None,None,None,7,side=over; rating=0; diff=1.3; line=19.5; L10=7o/3u/10g; streak=1u; opp_rank=7
bettingpros,NBA,Julian Champagnie,RA,2026-05-08 22:40:52,7.8,0.2,None,None,None,None,13,side=over; rating=0; diff=1.3; line=6.5; L10=6o/4u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Joel Embiid,RA,2026-05-08 22:40:52,11.2,0.2,None,None,None,None,3,side=under; rating=0; diff=-1.3; line=12.5; L10=6o/4u/10g; streak=1u; opp_rank=3
bettingpros,NBA,Victor Wembanyama,REB,2026-05-08 22:40:52,13.7,0.2,None,None,None,None,14,side=over; rating=0; diff=1.2; line=12.5; L10=6o/4u/10g; streak=3o; opp_rank=14
bettingpros,NBA,Tyrese Maxey,FG3M,2026-05-08 22:40:52,3.7,0.2,None,None,None,None,19,side=over; rating=0; diff=1.2; line=2.5; L10=6o/4u/10g; streak=3u; opp_rank=19
bettingpros,NBA,Rudy Gobert,PR,2026-05-08 22:40:52,20.7,0.2,None,None,None,None,7,side=over; rating=0; diff=1.2; line=19.5; L10=4o/6u/10g; streak=2u; opp_rank=7
bettingpros,NBA,Joel Embiid,PR,2026-05-08 22:40:52,32.3,0.2,None,None,None,None,4,side=under; rating=0; diff=-1.2; line=33.5; L10=6o/4u/10g; streak=1u; opp_rank=4
bettingpros,NBA,De'Aaron Fox,RA,2026-05-08 22:40:52,10.7,0.2,None,None,None,None,13,side=over; rating=0; diff=1.2; line=9.5; L10=7o/3u/10g; streak=2u; opp_rank=13
bettingpros,NBA,Harrison Barnes,PRA,2026-05-08 22:40:52,5.7,0.2,None,None,None,None,13,side=over; rating=0; diff=1.2; line=4.5; L10=6o/4u/10g; streak=2o; opp_rank=13
bettingpros,NBA,Jaden McDaniels,PRA,2026-05-08 22:40:52,23.7,0.2,None,None,None,None,7,side=over; rating=0; diff=1.2; line=22.5; L10=6o/4u/10g; streak=1u; opp_rank=7
bettingpros,NBA,De'Aaron Fox,AST,2026-05-08 22:40:52,6.6,0.2,None,None,None,None,10,side=over; rating=0; diff=1.1; line=5.5; L10=7o/3u/10g; streak=1u; opp_rank=10
bettingpros,NBA,Stephon Castle,AST,2026-05-08 22:40:52,7.6,0.2,None,None,None,None,10,side=over; rating=0; diff=1.1; line=6.5; L10=5o/5u/10g; streak=3u; opp_rank=10
bettingpros,NBA,Keldon Johnson,PTS,2026-05-08 22:40:52,10.6,0.2,None,None,None,None,13,side=over; rating=0; diff=1.1; line=8.5; L10=6o/4u/10g; streak=2o; opp_rank=13
bettingpros,NBA,Rudy Gobert,PA,2026-05-08 22:40:52,11.6,0.2,None,None,None,None,7,side=over; rating=0; diff=1.1; line=10.5; L10=4o/6u/10g; streak=2u; opp_rank=7
