source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Donovan Mitchell,PRA,2026-05-03 22:30:24,38.9,1.0,0.68685985224935,0.31314014775065,5,1,7,side=over; rating=5; diff=4.4; line=34.5; L10=4o/6u/10g; streak=4u; opp_rank=7
bettingpros,NBA,Donovan Mitchell,RA,2026-05-03 22:30:24,10.2,0.2,None,None,None,None,6,side=over; rating=0; diff=1.7; line=8.5; L10=6o/4u/10g; streak=2u; opp_rank=6
bettingpros,NBA,Sandro Mamukelashvili,PTS,2026-05-03 22:30:24,7.1,0.2,None,None,None,None,15,side=over; rating=0; diff=1.6; line=5.5; L10=5o/5u/10g; streak=1u; opp_rank=15
bettingpros,NBA,Ja'Kobe Walter,PTS,2026-05-03 22:30:24,9.9,0.2,None,None,None,None,15,side=under; rating=0; diff=-1.6; line=11.5; L10=4o/6u/10g; streak=2o; opp_rank=15
bettingpros,NBA,Evan Mobley,PR,2026-05-03 22:30:24,27.1,0.2,None,None,None,None,9,side=over; rating=0; diff=1.6; line=25.5; L10=5o/5u/10g; streak=2o; opp_rank=9
bettingpros,NBA,RJ Barrett,PRA,2026-05-03 22:30:24,35.1,0.2,None,None,None,None,15,side=over; rating=0; diff=1.6; line=33.5; L10=4o/6u/10g; streak=2o; opp_rank=15
bettingpros,NBA,Evan Mobley,PTS,2026-05-03 22:30:24,18,0.2,None,None,None,None,9,side=over; rating=0; diff=1.5; line=16.5; L10=6o/4u/10g; streak=2o; opp_rank=9
bettingpros,NBA,Max Strus,PR,2026-05-03 22:30:24,14,0.2,None,None,None,None,9,side=over; rating=0; diff=1.5; line=12.5; L10=3o/7u/10g; streak=3u; opp_rank=9
bettingpros,NBA,Collin Murray-Boyles,PRA,2026-05-03 22:30:24,20.1,0.2,None,None,None,None,15,side=under; rating=0; diff=-1.4; line=22.5; L10=5o/5u/10g; streak=1o; opp_rank=15
bettingpros,NBA,Dean Wade,PR,2026-05-03 22:30:24,10.8,0.2,None,None,None,None,9,side=over; rating=0; diff=1.3; line=8.5; L10=6o/4u/10g; streak=4o; opp_rank=9
bettingpros,NBA,Max Strus,RA,2026-05-03 22:30:24,6.8,0.2,None,None,None,None,6,side=over; rating=0; diff=1.3; line=5.5; L10=7o/3u/10g; streak=5o; opp_rank=6
bettingpros,NBA,Max Strus,PTS,2026-05-03 22:30:24,9.7,0.2,None,None,None,None,9,side=over; rating=0; diff=1.2; line=8.5; L10=3o/7u/10g; streak=3u; opp_rank=9
bettingpros,NBA,James Harden,RA,2026-05-03 22:30:24,12.7,0.2,None,None,None,None,6,side=over; rating=0; diff=1.2; line=11.5; L10=3o/7u/10g; streak=2o; opp_rank=6
bettingpros,NBA,Sam Merrill,RA,2026-05-03 22:30:24,3.7,0.2,None,None,None,None,6,side=over; rating=0; diff=1.2; line=2.5; L10=7o/3u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Collin Murray-Boyles,PTS,2026-05-03 22:30:24,11.4,0.2,None,None,None,None,15,side=under; rating=0; diff=-1.1; line=12.5; L10=6o/4u/10g; streak=1o; opp_rank=15
bettingpros,NBA,RJ Barrett,AST,2026-05-03 22:30:24,4.5,0.2,None,None,None,None,16,side=over; rating=0; diff=1; line=3.5; L10=4o/6u/10g; streak=1u; opp_rank=16
bettingpros,NBA,Max Strus,AST,2026-05-03 22:30:24,2.5,0.2,None,None,None,None,2,side=over; rating=0; diff=1; line=1.5; L10=7o/3u/10g; streak=2o; opp_rank=2
bettingpros,NBA,Dean Wade,REB,2026-05-03 22:30:24,4.5,0.2,None,None,None,None,9,side=over; rating=0; diff=1; line=3.5; L10=6o/4u/10g; streak=1o; opp_rank=9
bettingpros,NBA,RJ Barrett,PA,2026-05-03 22:30:24,28.5,0.2,None,None,None,None,15,side=over; rating=0; diff=1; line=27.5; L10=3o/7u/10g; streak=1u; opp_rank=15
bettingpros,NBA,Ja'Kobe Walter,PA,2026-05-03 22:30:24,11.5,0.2,None,None,None,None,15,side=under; rating=0; diff=-1; line=13.5; L10=4o/6u/10g; streak=2o; opp_rank=15
bettingpros,NBA,Evan Mobley,RA,2026-05-03 22:30:24,12.4,0.2,None,None,None,None,6,side=over; rating=0; diff=0.9; line=11.5; L10=5o/5u/10g; streak=1o; opp_rank=6
bettingpros,NBA,Sandro Mamukelashvili,PRA,2026-05-03 22:30:24,11.4,0.2,None,None,None,None,15,side=over; rating=0; diff=0.9; line=10.5; L10=7o/3u/10g; streak=1u; opp_rank=15
bettingpros,NBA,Scottie Barnes,PRA,2026-05-03 22:30:24,38.4,0.2,None,None,None,None,15,side=over; rating=0; diff=0.9; line=37.5; L10=5o/5u/10g; streak=1o; opp_rank=15
bettingpros,NBA,Evan Mobley,AST,2026-05-03 22:30:24,3.3,0.2,None,None,None,None,2,side=over; rating=0; diff=0.8; line=2.5; L10=7o/3u/10g; streak=1o; opp_rank=2
bettingpros,NBA,Dennis Schroder,PTS,2026-05-03 22:30:24,7.3,0.2,None,None,None,None,9,side=over; rating=0; diff=0.8; line=5.5; L10=6o/4u/10g; streak=3o; opp_rank=9
bettingpros,NBA,Dean Wade,PTS,2026-05-03 22:30:24,6.3,0.2,None,None,None,None,9,side=over; rating=0; diff=0.8; line=4.5; L10=7o/3u/10g; streak=4o; opp_rank=9
bettingpros,NBA,Jakob Poeltl,REB,2026-05-03 22:30:24,6.3,0.2,None,None,None,None,11,side=over; rating=0; diff=0.8; line=5.5; L10=5o/5u/10g; streak=1u; opp_rank=11
bettingpros,NBA,Max Strus,REB,2026-05-03 22:30:24,4.3,0.2,None,None,None,None,9,side=over; rating=0; diff=0.8; line=3.5; L10=7o/3u/10g; streak=4o; opp_rank=9
bettingpros,NBA,Donovan Mitchell,FG3M,2026-05-03 22:30:24,3.3,0.2,None,None,None,None,10,side=over; rating=0; diff=0.8; line=2.5; L10=5o/5u/10g; streak=1u; opp_rank=10
bettingpros,NBA,Dean Wade,FG3M,2026-05-03 22:30:24,1.3,0.2,None,None,None,None,10,side=over; rating=0; diff=0.8; line=0.5; L10=9o/1u/10g; streak=8o; opp_rank=10
bettingpros,NBA,Collin Murray-Boyles,PA,2026-05-03 22:30:24,13.7,0.2,None,None,None,None,15,side=under; rating=0; diff=-0.8; line=15.5; L10=7o/3u/10g; streak=1o; opp_rank=15
bettingpros,NBA,Scottie Barnes,RA,2026-05-03 22:30:24,16.3,0.2,None,None,None,None,15,side=over; rating=0; diff=0.8; line=15.5; L10=4o/6u/10g; streak=2o; opp_rank=15
bettingpros,NBA,Collin Murray-Boyles,RA,2026-05-03 22:30:24,8.7,0.2,None,None,None,None,15,side=under; rating=0; diff=-0.8; line=9; L10=3o/4u/10g; streak=1u; opp_rank=15
bettingpros,NBA,Jarrett Allen,BLK,2026-05-03 22:30:24,0.8,0.2,None,None,None,None,19,side=under; rating=0; diff=-0.7; line=1.5; L10=6o/4u/10g; streak=5o; opp_rank=19
bettingpros,NBA,RJ Barrett,FG3M,2026-05-03 22:30:24,2.2,0.2,None,None,None,None,23,side=over; rating=0; diff=0.7; line=1.5; L10=5o/5u/10g; streak=2o; opp_rank=23
bettingpros,NBA,Sandro Mamukelashvili,PR,2026-05-03 22:30:24,10.2,0.2,None,None,None,None,14,side=over; rating=0; diff=0.7; line=9.5; L10=7o/3u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Jaylon Tyson,PR,2026-05-03 22:30:24,9.2,0.2,None,None,None,None,9,side=over; rating=0; diff=0.7; line=8.5; L10=7o/3u/10g; streak=4o; opp_rank=9
bettingpros,NBA,Jakob Poeltl,RA,2026-05-03 22:30:24,8.2,0.2,None,None,None,None,15,side=over; rating=0; diff=0.7; line=7.5; L10=4o/6u/10g; streak=1u; opp_rank=15
bettingpros,NBA,Scottie Barnes,PTS,2026-05-03 22:30:24,22.1,0.2,None,None,None,None,15,side=over; rating=0; diff=0.6; line=21.5; L10=5o/5u/10g; streak=1o; opp_rank=15
bettingpros,NBA,Evan Mobley,REB,2026-05-03 22:30:24,9.1,0.2,None,None,None,None,9,side=over; rating=0; diff=0.6; line=8.5; L10=5o/5u/10g; streak=3o; opp_rank=9
bettingpros,NBA,RJ Barrett,RA,2026-05-03 22:30:24,11.1,0.2,None,None,None,None,15,side=over; rating=0; diff=0.6; line=10.5; L10=3o/7u/10g; streak=2o; opp_rank=15
bettingpros,NBA,Ja'Kobe Walter,RA,2026-05-03 22:30:24,4.9,0.2,None,None,None,None,15,side=under; rating=0; diff=-0.6; line=5.5; L10=2o/8u/10g; streak=2u; opp_rank=15
bettingpros,NBA,Jamison Battle,PRA,2026-05-03 22:30:24,5.9,0.2,None,None,None,None,15,side=under; rating=0; diff=-0.6; line=6.5; L10=2o/8u/10g; streak=1u; opp_rank=15
bettingpros,NBA,Collin Murray-Boyles,BLK,2026-05-03 22:30:24,1,0.2,None,None,None,None,8,side=over; rating=0; diff=0.5; line=0.5; L10=7o/3u/10g; streak=2o; opp_rank=8
bettingpros,NBA,RJ Barrett,PTS,2026-05-03 22:30:24,24,0.2,None,None,None,None,15,side=over; rating=0; diff=0.5; line=23.5; L10=5o/5u/10g; streak=2o; opp_rank=15
bettingpros,NBA,James Harden,REB,2026-05-03 22:30:24,5,0.2,None,None,None,None,9,side=over; rating=0; diff=0.5; line=4.5; L10=4o/6u/10g; streak=2o; opp_rank=9
bettingpros,NBA,Jarrett Allen,REB,2026-05-03 22:30:24,8,0.2,None,None,None,None,9,side=over; rating=0; diff=0.5; line=7.5; L10=4o/6u/10g; streak=2u; opp_rank=9
bettingpros,NBA,Sam Merrill,REB,2026-05-03 22:30:24,2,0.2,None,None,None,None,9,side=over; rating=0; diff=0.5; line=1.5; L10=5o/5u/10g; streak=3u; opp_rank=9
bettingpros,NBA,James Harden,FG3M,2026-05-03 22:30:24,3,0.2,None,None,None,None,10,side=over; rating=0; diff=0.5; line=2.5; L10=7o/3u/10g; streak=1u; opp_rank=10
bettingpros,NBA,Sandro Mamukelashvili,FG3M,2026-05-03 22:30:24,1,0.2,None,None,None,None,23,side=over; rating=0; diff=0.5; line=0.5; L10=7o/3u/10g; streak=1u; opp_rank=23
bettingpros,NBA,Jaylon Tyson,FG3M,2026-05-03 22:30:24,1,0.2,None,None,None,None,10,side=over; rating=0; diff=0.5; line=0.5; L10=6o/4u/10g; streak=2o; opp_rank=10
bettingpros,NBA,Jamal Shead,PA,2026-05-03 22:30:24,15,0.2,None,None,None,None,15,side=under; rating=0; diff=-0.5; line=15.5; L10=2o/8u/10g; streak=1u; opp_rank=15
bettingpros,NBA,Jakob Poeltl,AST,2026-05-03 22:30:24,1.9,0.2,None,None,None,None,16,side=over; rating=0; diff=0.4; line=1.5; L10=5o/5u/10g; streak=1u; opp_rank=16
bettingpros,NBA,Sandro Mamukelashvili,REB,2026-05-03 22:30:24,3.1,0.2,None,None,None,None,11,side=under; rating=0; diff=-0.4; line=3.5; L10=7o/3u/10g; streak=1o; opp_rank=11
bettingpros,NBA,Jamal Shead,REB,2026-05-03 22:30:24,2.1,0.2,None,None,None,None,11,side=under; rating=0; diff=-0.4; line=2.5; L10=2o/8u/10g; streak=2u; opp_rank=11
bettingpros,NBA,James Harden,STL,2026-05-03 22:30:24,1.1,0.2,None,None,None,None,8,side=under; rating=0; diff=-0.4; line=1.5; L10=6o/4u/10g; streak=2o; opp_rank=8
bettingpros,NBA,RJ Barrett,STL,2026-05-03 22:30:24,0.9,0.2,None,None,None,None,17,side=over; rating=0; diff=0.4; line=0.5; L10=5o/5u/10g; streak=1o; opp_rank=17
bettingpros,NBA,Collin Murray-Boyles,STL,2026-05-03 22:30:24,1.1,0.2,None,None,None,None,17,side=under; rating=0; diff=-0.4; line=1.5; L10=3o/7u/10g; streak=1o; opp_rank=17
bettingpros,NBA,Evan Mobley,FG3M,2026-05-03 22:30:24,0.9,0.2,None,None,None,None,10,side=over; rating=0; diff=0.4; line=0.5; L10=5o/5u/10g; streak=2o; opp_rank=10
bettingpros,NBA,Scottie Barnes,FG3M,2026-05-03 22:30:24,1.1,0.2,None,None,None,None,23,side=under; rating=0; diff=-0.4; line=1.5; L10=4o/6u/10g; streak=3u; opp_rank=23
bettingpros,NBA,Ja'Kobe Walter,FG3M,2026-05-03 22:30:24,2.1,0.2,None,None,None,None,23,side=under; rating=0; diff=-0.4; line=2.5; L10=6o/4u/10g; streak=2o; opp_rank=23
bettingpros,NBA,Jamal Shead,RA,2026-05-03 22:30:24,8.9,0.2,None,None,None,None,15,side=over; rating=0; diff=0.4; line=8.5; L10=1o/9u/10g; streak=9u; opp_rank=15
bettingpros,NBA,Jamal Shead,PRA,2026-05-03 22:30:24,17.1,0.2,None,None,None,None,15,side=under; rating=0; diff=-0.4; line=17.5; L10=2o/8u/10g; streak=1u; opp_rank=15
bettingpros,NBA,Max Strus,BLK,2026-05-03 22:30:24,0.2,0.2,None,None,None,None,19,side=under; rating=0; diff=-0.3; line=0.5; L10=0o/10u/10g; streak=20u; opp_rank=19
bettingpros,NBA,Evan Mobley,BLK,2026-05-03 22:30:24,1.8,0.2,None,None,None,None,19,side=over; rating=0; diff=0.3; line=1.5; L10=2o/8u/10g; streak=1u; opp_rank=19
bettingpros,NBA,Ja'Kobe Walter,BLK,2026-05-03 22:30:24,0.2,0.2,None,None,None,None,8,side=under; rating=0; diff=-0.3; line=0.5; L10=2o/8u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Jamal Shead,BLK,2026-05-03 22:30:24,0.2,0.2,None,None,None,None,8,side=under; rating=0; diff=-0.3; line=0.5; L10=2o/8u/10g; streak=4u; opp_rank=8
bettingpros,NBA,Jamal Shead,PTS,2026-05-03 22:30:24,8.2,0.2,None,None,None,None,15,side=under; rating=0; diff=-0.3; line=8.5; L10=2o/8u/10g; streak=1u; opp_rank=15
bettingpros,NBA,Jakob Poeltl,STL,2026-05-03 22:30:24,0.8,0.2,None,None,None,None,17,side=over; rating=0; diff=0.3; line=0.5; L10=6o/4u/10g; streak=1o; opp_rank=17
bettingpros,NBA,Jarrett Allen,STL,2026-05-03 22:30:24,0.8,0.2,None,None,None,None,8,side=over; rating=0; diff=0.3; line=0.5; L10=9o/1u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Dean Wade,STL,2026-05-03 22:30:24,0.8,0.2,None,None,None,None,8,side=over; rating=0; diff=0.3; line=0.5; L10=7o/3u/10g; streak=2o; opp_rank=8
bettingpros,NBA,Scottie Barnes,STL,2026-05-03 22:30:24,1.8,0.2,None,None,None,None,17,side=over; rating=0; diff=0.3; line=1.5; L10=2o/8u/10g; streak=1o; opp_rank=17
bettingpros,NBA,Jamal Shead,STL,2026-05-03 22:30:24,1.2,0.2,None,None,None,None,17,side=under; rating=0; diff=-0.3; line=1.5; L10=3o/7u/10g; streak=1u; opp_rank=17
bettingpros,NBA,Max Strus,FG3M,2026-05-03 22:30:24,2.2,0.2,None,None,None,None,10,side=under; rating=0; diff=-0.3; line=2.5; L10=2o/8u/10g; streak=3u; opp_rank=10
bettingpros,NBA,James Harden,AST,2026-05-03 22:30:24,7.7,0.2,None,None,None,None,2,side=over; rating=0; diff=0.2; line=6.5; L10=4o/6u/10g; streak=1o; opp_rank=2
bettingpros,NBA,Scottie Barnes,AST,2026-05-03 22:30:24,7.3,0.2,None,None,None,None,16,side=under; rating=0; diff=-0.2; line=7.5; L10=4o/6u/10g; streak=2o; opp_rank=16
bettingpros,NBA,Collin Murray-Boyles,AST,2026-05-03 22:30:24,2.3,0.2,None,None,None,None,16,side=under; rating=0; diff=-0.2; line=2.5; L10=3o/7u/10g; streak=2u; opp_rank=16
bettingpros,NBA,Jakob Poeltl,BLK,2026-05-03 22:30:24,0.7,0.2,None,None,None,None,8,side=over; rating=0; diff=0.2; line=0.5; L10=8o/2u/10g; streak=4o; opp_rank=8
bettingpros,NBA,Donovan Mitchell,BLK,2026-05-03 22:30:24,0.3,0.2,None,None,None,None,19,side=under; rating=0; diff=-0.2; line=0.5; L10=4o/6u/10g; streak=2o; opp_rank=19
bettingpros,NBA,Jamison Battle,PTS,2026-05-03 22:30:24,3.7,0.2,None,None,None,None,15,side=over; rating=0; diff=0.2; line=3.5; L10=4o/6u/10g; streak=2o; opp_rank=15
bettingpros,NBA,Donovan Mitchell,REB,2026-05-03 22:30:24,4.7,0.2,None,None,None,None,9,side=over; rating=0; diff=0.2; line=4.5; L10=8o/2u/10g; streak=5o; opp_rank=9
bettingpros,NBA,Ja'Kobe Walter,REB,2026-05-03 22:30:24,3.3,0.2,None,None,None,None,11,side=under; rating=0; diff=-0.2; line=3.5; L10=3o/7u/10g; streak=1o; opp_rank=11
bettingpros,NBA,Jamison Battle,REB,2026-05-03 22:30:24,1.7,0.2,None,None,None,None,11,side=over; rating=0; diff=0.2; line=1.5; L10=2o/8u/10g; streak=1u; opp_rank=11
bettingpros,NBA,Evan Mobley,STL,2026-05-03 22:30:24,0.7,0.2,None,None,None,None,8,side=over; rating=0; diff=0.2; line=0.5; L10=5o/5u/10g; streak=4o; opp_rank=8
bettingpros,NBA,Dennis Schroder,FG3M,2026-05-03 22:30:24,0.7,0.2,None,None,None,None,10,side=over; rating=0; diff=0.2; line=0.5; L10=4o/6u/10g; streak=1u; opp_rank=10
bettingpros,NBA,Jamal Shead,FG3M,2026-05-03 22:30:24,1.3,0.2,None,None,None,None,23,side=under; rating=0; diff=-0.2; line=1.5; L10=4o/6u/10g; streak=2o; opp_rank=23
bettingpros,NBA,Jamison Battle,FG3M,2026-05-03 22:30:24,0.7,0.2,None,None,None,None,23,side=over; rating=0; diff=0.2; line=0.5; L10=3o/7u/10g; streak=2o; opp_rank=23
bettingpros,NBA,Jaylon Tyson,PA,2026-05-03 22:30:24,7.7,0.2,None,None,None,None,6,side=over; rating=0; diff=0.2; line=7.5; L10=7o/3u/10g; streak=4o; opp_rank=6
bettingpros,NBA,Jamal Shead,PR,2026-05-03 22:30:24,10.3,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.2; line=11.5; L10=2o/8u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Jaylon Tyson,PRA,2026-05-03 22:30:24,10.3,0.2,None,None,None,None,7,side=under; rating=0; diff=-0.2; line=10.5; L10=7o/3u/10g; streak=4o; opp_rank=7
bettingpros,NBA,Ja'Kobe Walter,AST,2026-05-03 22:30:24,1.6,0.2,None,None,None,None,16,side=over; rating=0; diff=0.1; line=1.5; L10=5o/5u/10g; streak=1u; opp_rank=16
bettingpros,NBA,James Harden,BLK,2026-05-03 22:30:24,0.6,0.2,None,None,None,None,19,side=over; rating=0; diff=0.1; line=0.5; L10=5o/5u/10g; streak=3o; opp_rank=19
bettingpros,NBA,RJ Barrett,BLK,2026-05-03 22:30:24,0.4,0.2,None,None,None,None,8,side=under; rating=0; diff=-0.1; line=0.5; L10=4o/6u/10g; streak=2u; opp_rank=8
bettingpros,NBA,Scottie Barnes,BLK,2026-05-03 22:30:24,1.6,0.2,None,None,None,None,8,side=over; rating=0; diff=0.1; line=1.5; L10=4o/6u/10g; streak=3o; opp_rank=8
bettingpros,NBA,Jaylon Tyson,PTS,2026-05-03 22:30:24,6.6,0.2,None,None,None,None,9,side=over; rating=0; diff=0.1; line=6.5; L10=6o/4u/10g; streak=1u; opp_rank=9
bettingpros,NBA,RJ Barrett,REB,2026-05-03 22:30:24,6.6,0.2,None,None,None,None,11,side=over; rating=0; diff=0.1; line=6.5; L10=5o/5u/10g; streak=3o; opp_rank=11
bettingpros,NBA,Jaylon Tyson,REB,2026-05-03 22:30:24,2.6,0.2,None,None,None,None,9,side=over; rating=0; diff=0.1; line=2.5; L10=5o/5u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Collin Murray-Boyles,REB,2026-05-03 22:30:24,6.4,0.2,None,None,None,None,11,side=under; rating=0; diff=-0.1; line=6.5; L10=6o/4u/10g; streak=1o; opp_rank=11
bettingpros,NBA,Sandro Mamukelashvili,STL,2026-05-03 22:30:24,0.6,0.2,None,None,None,None,17,side=over; rating=0; diff=0.1; line=0.5; L10=6o/4u/10g; streak=1o; opp_rank=17
bettingpros,NBA,Sam Merrill,STL,2026-05-03 22:30:24,0.6,0.2,None,None,None,None,8,side=over; rating=0; diff=0.1; line=0.5; L10=7o/3u/10g; streak=2o; opp_rank=8
bettingpros,NBA,Ja'Kobe Walter,STL,2026-05-03 22:30:24,1.4,0.2,None,None,None,None,17,side=under; rating=0; diff=-0.1; line=1.5; L10=3o/7u/10g; streak=3o; opp_rank=17
bettingpros,NBA,Collin Murray-Boyles,FG3M,2026-05-03 22:30:24,0.4,0.2,None,None,None,None,23,side=under; rating=0; diff=-0.1; line=0.5; L10=0o/10u/10g; streak=16u; opp_rank=23
bettingpros,NBA,Scottie Barnes,PA,2026-05-03 22:30:24,29.4,0.2,None,None,None,None,15,side=under; rating=0; diff=-0.1; line=29.5; L10=5o/5u/10g; streak=1o; opp_rank=15
bettingpros,NBA,RJ Barrett,PR,2026-05-03 22:30:24,30.6,0.2,None,None,None,None,14,side=over; rating=0; diff=0.1; line=29.5; L10=4o/6u/10g; streak=2o; opp_rank=14
bettingpros,NBA,Jamison Battle,PR,2026-05-03 22:30:24,5.4,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.1; line=5.5; L10=2o/8u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Jarrett Allen,RA,2026-05-03 22:30:24,9.6,0.2,None,None,None,None,6,side=over; rating=0; diff=0.1; line=8.5; L10=3o/7u/10g; streak=2u; opp_rank=6
