source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Stephon Castle,PA,2026-05-15 11:26:54,24.4,0.2,None,None,None,None,12,side=over; rating=0; diff=0.9; line=23.5; L10=6o/4u/10g; streak=1u; opp_rank=12
bettingpros,NBA,Dylan Harper,PA,2026-05-15 11:26:54,15.4,0.2,None,None,None,None,12,side=over; rating=0; diff=0.9; line=14.5; L10=5o/5u/10g; streak=1u; opp_rank=12
bettingpros,NBA,Daniss Jenkins,PRA,2026-05-15 11:26:54,15.4,0.2,None,None,None,None,14,side=over; rating=0; diff=0.9; line=14.5; L10=4o/6u/10g; streak=1o; opp_rank=14
bettingpros,NBA,De'Aaron Fox,AST,2026-05-15 11:26:54,6.3,0.2,None,None,None,None,10,side=over; rating=0; diff=0.8; line=5.5; L10=5o/5u/10g; streak=4u; opp_rank=10
bettingpros,NBA,James Harden,AST,2026-05-15 11:26:54,7.3,0.2,None,None,None,None,1,side=over; rating=0; diff=0.8; line=6.5; L10=5o/5u/10g; streak=1u; opp_rank=1
bettingpros,NBA,Dean Wade,AST,2026-05-15 11:26:54,1.3,0.2,None,None,None,None,1,side=over; rating=0; diff=0.8; line=0.5; L10=3o/7u/10g; streak=4u; opp_rank=1
bettingpros,NBA,Anthony Edwards,STL,2026-05-15 11:26:54,1.3,0.2,None,None,None,None,5,side=over; rating=0; diff=0.8; line=0.5; L10=2o/8u/10g; streak=1u; opp_rank=5
bettingpros,NBA,Max Strus,PR,2026-05-15 11:26:54,14.3,0.2,None,None,None,None,4,side=over; rating=0; diff=0.8; line=13.5; L10=4o/6u/10g; streak=1o; opp_rank=4
bettingpros,NBA,Ausar Thompson,RA,2026-05-15 11:26:54,8.7,0.2,None,None,None,None,15,side=under; rating=0; diff=-0.8; line=9.5; L10=7o/3u/10g; streak=1o; opp_rank=15
bettingpros,NBA,Victor Wembanyama,AST,2026-05-15 11:26:54,3.2,0.2,None,None,None,None,10,side=over; rating=0; diff=0.7; line=2.5; L10=5o/5u/10g; streak=1o; opp_rank=10
bettingpros,NBA,Stephon Castle,AST,2026-05-15 11:26:54,7.2,0.2,None,None,None,None,10,side=over; rating=0; diff=0.7; line=6.5; L10=3o/7u/10g; streak=2u; opp_rank=10
bettingpros,NBA,Ayo Dosunmu,PTS,2026-05-15 11:26:54,14.2,0.2,None,None,None,None,6,side=over; rating=0; diff=0.7; line=13.5; L10=6o/4u/10g; streak=1o; opp_rank=6
bettingpros,NBA,Stephon Castle,PTS,2026-05-15 11:26:54,17.2,0.2,None,None,None,None,13,side=over; rating=0; diff=0.7; line=16.5; L10=7o/3u/10g; streak=2o; opp_rank=13
