source,league,player,stat,asof_ts,projection,confidence,notes
rotowire,NBA,Duncan Robinson,PTS,2026-02-10 14:37:14,11.381792971185227,1.0,
rotowire,NBA,Duncan Robinson,RA,2026-02-10 14:37:14,4.9611673726477346,1.0,
rotowire,NBA,Dyson Daniels,AST,2026-02-10 14:37:14,3.7221156057094027,1.0,
rotowire,NBA,Dyson Daniels,PA,2026-02-10 14:37:14,15.163220167162974,1.0,
rotowire,NBA,Dyson Daniels,PR,2026-02-10 14:37:14,18.690576794796,1.0,
rotowire,NBA,Dyson Daniels,PRA,2026-02-10 14:37:14,22.412692400505403,1.0,
rotowire,NBA,Dyson Daniels,PTS,2026-02-10 14:37:14,11.441104561453571,1.0,
rotowire,NBA,Dyson Daniels,RA,2026-02-10 14:37:14,10.971587839051832,1.0,
rotowire,NBA,Dyson Daniels,REB,2026-02-10 14:37:14,7.249472233342429,1.0,
rotowire,NBA,Egor Demin,PA,2026-02-10 14:37:14,14.388656386539012,1.0,
rotowire,NBA,Egor Demin,PR,2026-02-10 14:37:14,13.926493875630406,1.0,
rotowire,NBA,Egor Demin,PRA,2026-02-10 14:37:14,18.3996150225614,1.0,
rotowire,NBA,Egor Demin,PTS,2026-02-10 14:37:14,9.915535239608019,1.0,
rotowire,NBA,Gary Trent,AST,2026-02-10 14:37:14,1.903942243128818,1.0,
rotowire,NBA,Gary Trent,PRA,2026-02-10 14:37:14,15.43081967152595,1.0,
rotowire,NBA,Gary Trent,PTS,2026-02-10 14:37:14,10.728183846905836,1.0,
rotowire,NBA,Grayson Allen,PA,2026-02-10 14:37:14,22.21518025132701,1.0,
rotowire,NBA,Grayson Allen,PR,2026-02-10 14:37:14,23.210905039133536,1.0,
rotowire,NBA,Grayson Allen,PRA,2026-02-10 14:37:14,27.304592014141516,1.0,
rotowire,NBA,Grayson Allen,PTS,2026-02-10 14:37:14,18.12149327631903,1.0,
rotowire,NBA,Grayson Allen,RA,2026-02-10 14:37:14,9.183098737822487,1.0,
rotowire,NBA,Grayson Allen,REB,2026-02-10 14:37:14,5.089411762814507,1.0,
rotowire,NBA,Isaac Okoro,PA,2026-02-10 14:37:14,14.694559208999895,1.0,
rotowire,NBA,Isaac Okoro,PR,2026-02-10 14:37:14,16.02313368073531,1.0,
rotowire,NBA,Isaac Okoro,PRA,2026-02-10 14:37:14,18.59999965764078,1.0,
rotowire,NBA,Isaiah Collier,AST,2026-02-10 14:37:14,8.998243006426936,1.0,
rotowire,NBA,Isaiah Collier,PA,2026-02-10 14:37:14,23.88663910268178,1.0,
rotowire,NBA,Isaiah Collier,PR,2026-02-10 14:37:14,19.497372111556565,1.0,
rotowire,NBA,Isaiah Collier,PRA,2026-02-10 14:37:14,28.4956151179835,1.0,
rotowire,NBA,Isaiah Collier,PTS,2026-02-10 14:37:14,14.888396096254844,1.0,
rotowire,NBA,Isaiah Collier,RA,2026-02-10 14:37:14,13.607219021728655,1.0,
rotowire,NBA,Isaiah Collier,REB,2026-02-10 14:37:14,4.608976015301719,1.0,
rotowire,NBA,Isaiah Hartenstein,PA,2026-02-10 14:37:14,12.767410872881111,1.0,
rotowire,NBA,Isaiah Hartenstein,PR,2026-02-10 14:37:14,18.345510041396032,1.0,
rotowire,NBA,Isaiah Hartenstein,PRA,2026-02-10 14:37:14,21.14239680780394,1.0,
rotowire,NBA,Isaiah Hartenstein,PTS,2026-02-10 14:37:14,9.970524106473203,1.0,
rotowire,NBA,Isaiah Hartenstein,RA,2026-02-10 14:37:14,11.171872701330734,1.0,
rotowire,NBA,Isaiah Hartenstein,REB,2026-02-10 14:37:14,8.374985934922828,1.0,
rotowire,NBA,Isaiah Jackson,PR,2026-02-10 14:37:14,21.65391082786499,1.0,
rotowire,NBA,Isaiah Jackson,PRA,2026-02-10 14:37:14,22.477164971326964,1.0,
rotowire,NBA,Isaiah Jackson,PTS,2026-02-10 14:37:14,13.669816541849293,1.0,
rotowire,NBA,Isaiah Stewart,FG3M,2026-02-10 14:37:14,0.4624782967179897,1.0,
rotowire,NBA,Isaiah Stewart,PR,2026-02-10 14:37:14,14.32916822758323,1.0,
rotowire,NBA,Isaiah Stewart,PRA,2026-02-10 14:37:14,16.23572393662777,1.0,
rotowire,NBA,Isaiah Stewart,REB,2026-02-10 14:37:14,6.925399488898469,1.0,
rotowire,NBA,Jaime Jaquez,PA,2026-02-10 14:37:14,21.082648444107857,1.0,
rotowire,NBA,Jaime Jaquez,PR,2026-02-10 14:37:14,24.917238652851093,1.0,
rotowire,NBA,Jaime Jaquez,PRA,2026-02-10 14:37:14,28.651302321890107,1.0,
rotowire,NBA,Jaime Jaquez,PTS,2026-02-10 14:37:14,17.348584775068844,1.0,
rotowire,NBA,Jaime Jaquez,RA,2026-02-10 14:37:14,11.302717546821262,1.0,
rotowire,NBA,Jaime Jaquez,REB,2026-02-10 14:37:14,7.568653877782249,1.0,
rotowire,NBA,Jake LaRavia,PA,2026-02-10 14:37:14,12.02844138349214,1.0,
rotowire,NBA,Jake LaRavia,PR,2026-02-10 14:37:14,14.741851242063571,1.0,
rotowire,NBA,Jake LaRavia,PRA,2026-02-10 14:37:14,16.217822634668025,1.0,
rotowire,NBA,Jake LaRavia,PTS,2026-02-10 14:37:14,10.552469990887687,1.0,
rotowire,NBA,Jalen Brunson,AST,2026-02-10 14:37:14,7.2940832629519194,1.0,
rotowire,NBA,Jalen Brunson,FG3M,2026-02-10 14:37:14,2.499077608523862,1.0,
rotowire,NBA,Jalen Brunson,PA,2026-02-10 14:37:14,32.20242537681401,1.0,
rotowire,NBA,Jalen Brunson,PR,2026-02-10 14:37:14,28.768724605724852,1.0,
rotowire,NBA,Jalen Brunson,PRA,2026-02-10 14:37:14,36.06280786867677,1.0,
