projection_id,player,stat,line,tag,team,opp,home,game_date,direction
11784132,Ausar Thompson,PRA,24.5,DEMON,DET,ORL,0,2026-05-01,OVER
11784132,Ausar Thompson,PRA,24.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11784142,Cade Cunningham,PTS,24.5,GOBLIN,DET,ORL,0,2026-05-01,OVER
11784142,Cade Cunningham,PTS,24.5,GOBLIN,DET,ORL,0,2026-05-01,UNDER
11784172,Desmond Bane,PRA,24.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11784172,Desmond Bane,PRA,24.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
11784219,Jalen Suggs,PA,24.5,DEMON,ORL,DET,1,2026-05-01,OVER
11784219,Jalen Suggs,PA,24.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11784221,Jalen Suggs,PR,24.5,DEMON,ORL,DET,1,2026-05-01,OVER
11784221,Jalen Suggs,PR,24.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11784223,Jalen Suggs,PRA,24.5,DEMON,ORL,DET,1,2026-05-01,OVER
11784223,Jalen Suggs,PRA,24.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11784238,Paolo Banchero,PTS,24.5,DEMON,ORL,DET,1,2026-05-01,OVER
11784238,Paolo Banchero,PTS,24.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11784240,Paolo Banchero,PA,24.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11784240,Paolo Banchero,PA,24.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
11784263,Tobias Harris,PTS,24.5,DEMON,DET,ORL,0,2026-05-01,OVER
11784263,Tobias Harris,PTS,24.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11784266,Tobias Harris,PA,24.5,DEMON,DET,ORL,0,2026-05-01,OVER
11784266,Tobias Harris,PA,24.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11784288,Wendell Carter,PRA,24.5,DEMON,ORL,DET,1,2026-05-01,OVER
11784288,Wendell Carter,PRA,24.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11785025,Anthony Black,PR,24.5,DEMON,ORL,DET,1,2026-05-01,OVER
11785025,Anthony Black,PR,24.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11785028,Anthony Black,PRA,24.5,DEMON,ORL,DET,1,2026-05-01,OVER
11785028,Anthony Black,PRA,24.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11785059,Desmond Bane,PTS,24.5,DEMON,ORL,DET,1,2026-05-01,OVER
11785059,Desmond Bane,PTS,24.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11785061,Desmond Bane,PA,24.5,DEMON,ORL,DET,1,2026-05-01,OVER
11785061,Desmond Bane,PA,24.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11785134,Wendell Carter,PR,24.5,DEMON,ORL,DET,1,2026-05-01,OVER
11785134,Wendell Carter,PR,24.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11785380,Paolo Banchero,PR,24.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11785380,Paolo Banchero,PR,24.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
11794472,Anthony Black,PA,24.5,DEMON,ORL,DET,1,2026-05-01,OVER
11794472,Anthony Black,PA,24.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11812837,Jalen Duren,PA,24.5,DEMON,DET,ORL,0,2026-05-01,OVER
11812837,Jalen Duren,PA,24.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11784169,Desmond Bane,PR,23.5,,ORL,DET,1,2026-05-01,OVER
11784169,Desmond Bane,PR,23.5,,ORL,DET,1,2026-05-01,UNDER
11784196,Jalen Duren,PR,23.5,,DET,ORL,0,2026-05-01,OVER
11784196,Jalen Duren,PR,23.5,,DET,ORL,0,2026-05-01,UNDER
11784235,Paolo Banchero,PTS,23.5,,ORL,DET,1,2026-05-01,OVER
11784235,Paolo Banchero,PTS,23.5,,ORL,DET,1,2026-05-01,UNDER
