file,row_index,n_ids_found,n_ids_matched,slip_hit_raw,slip_hit_adj,slip_delta,ids_found_json,ids_matched_json,players_json,slip_key,n_legs
data/output/latest/late/System/recommended_5leg.csv,2,5,5,0.0843876216013579,0.14353354134921995,0.05914591974786204,"[9869141, 9869121, 9869048, 9868852, 9868882]","[9869141, 9869121, 9869048, 9868852, 9868882]","[""Naji Marshall"", ""Marcus Smart"", ""Austin Reaves"", ""Deandre Ayton"", ""LeBron James""]",Naji Marshall OVER AST 2.5 (GOBLIN) [id:9869141] | Marcus Smart OVER RA 5.5 (GOBLIN) [id:9869121] | Austin Reaves OVER RA 7.5 (GOBLIN) [id:9869048] | Deandre Ayton UNDER PR 21.5 (STANDARD) [id:9868852] | LeBron James UNDER PR 29.5 (STANDARD) [id:9868882],5
data/output/latest/late/System/recommended_5leg.csv,3,5,5,0.13770285937197338,0.14152122153922306,0.003818362167249678,"[9868922, 9868951, 9868765, 9868911, 9868852]","[9868922, 9868951, 9868765, 9868911, 9868852]","[""Max Christie"", ""Naji Marshall"", ""Austin Reaves"", ""Marcus Smart"", ""Deandre Ayton""]",Max Christie OVER FG3M 1.5 (GOBLIN) [id:9868922] | Naji Marshall OVER FG3M 0.5 (GOBLIN) [id:9868951] | Austin Reaves OVER FG3M 1.5 (GOBLIN) [id:9868765] | Marcus Smart UNDER PA 14.5 (STANDARD) [id:9868911] | Deandre Ayton UNDER PR 21.5 (STANDARD) [id:9868852],5
data/output/latest/late/System/recommended_5leg.csv,4,5,5,0.1450889426239508,0.1321310138568617,-0.012957928767089094,"[9869048, 9868989, 9868914, 9868808, 9868939]","[9869048, 9868989, 9868914, 9868808, 9868939]","[""Austin Reaves"", ""P.J. Washington"", ""Marcus Smart"", ""Caleb Martin"", ""Max Christie""]",Austin Reaves OVER RA 7.5 (GOBLIN) [id:9869048] | P.J. Washington OVER REB 4.5 (GOBLIN) [id:9868989] | Marcus Smart OVER REB 2.5 (GOBLIN) [id:9868914] | Caleb Martin UNDER PA 10.5 (STANDARD) [id:9868808] | Max Christie OVER PA 17.5 (STANDARD) [id:9868939],5
data/output/latest/late/System/recommended_5leg.csv,5,5,5,0.10487712063571748,0.13121819694036027,0.026341076304642788,"[9869135, 9869168, 9868914, 9868853, 9868881]","[9869135, 9869168, 9868914, 9868853, 9868881]","[""Max Christie"", ""P.J. Washington"", ""Marcus Smart"", ""Deandre Ayton"", ""LeBron James""]",Max Christie OVER RA 5.5 (GOBLIN) [id:9869135] | P.J. Washington OVER RA 6.5 (GOBLIN) [id:9869168] | Marcus Smart OVER REB 2.5 (GOBLIN) [id:9868914] | Deandre Ayton UNDER PRA 22.5 (STANDARD) [id:9868853] | LeBron James UNDER PA 31.5 (STANDARD) [id:9868881],5
data/output/latest/late/System/recommended_5leg.csv,6,5,5,0.08964650920190032,0.12444936447138594,0.03480285526948562,"[9868922, 9868811, 9868833, 9868852, 9868986]","[9868922, 9868811, 9868833, 9868852, 9868986]","[""Max Christie"", ""Caleb Martin"", ""Daniel Gafford"", ""Deandre Ayton"", ""P.J. Washington""]",Max Christie OVER FG3M 1.5 (GOBLIN) [id:9868922] | Caleb Martin OVER REB 3.5 (GOBLIN) [id:9868811] | Daniel Gafford OVER REB 5.5 (GOBLIN) [id:9868833] | Deandre Ayton UNDER PR 21.5 (STANDARD) [id:9868852] | P.J. Washington UNDER PA 16.5 (STANDARD) [id:9868986],5
data/output/latest/late/System/recommended_4leg.csv,0,4,4,0.19457773895805192,0.28103860483520987,0.08646086587715796,"[9869141, 9868922, 9868808, 9868882]","[9869141, 9868922, 9868808, 9868882]","[""Naji Marshall"", ""Max Christie"", ""Caleb Martin"", ""LeBron James""]",Naji Marshall OVER AST 2.5 (GOBLIN) [id:9869141] | Max Christie OVER FG3M 1.5 (GOBLIN) [id:9868922] | Caleb Martin UNDER PA 10.5 (STANDARD) [id:9868808] | LeBron James UNDER PR 29.5 (STANDARD) [id:9868882],4
data/output/latest/late/System/recommended_4leg.csv,1,4,4,0.24725389451905166,0.24295274887762267,-0.0043011456414289995,"[9868788, 9868943, 9868986, 9868911]","[9868788, 9868943, 9868986, 9868911]","[""Austin Reaves"", ""Max Christie"", ""P.J. Washington"", ""Marcus Smart""]",Austin Reaves OVER REB 3.5 (GOBLIN) [id:9868788] | Max Christie OVER REB 2.5 (GOBLIN) [id:9868943] | P.J. Washington UNDER PA 16.5 (STANDARD) [id:9868986] | Marcus Smart UNDER PA 14.5 (STANDARD) [id:9868911],4
data/output/latest/late/System/recommended_4leg.csv,2,4,4,0.2009065362045898,0.239000795802336,0.038094259597746205,"[9869141, 9869128, 9868984, 9868890]","[9869141, 9869128, 9868984, 9868890]","[""Naji Marshall"", ""Max Christie"", ""P.J. Washington"", ""LeBron James""]",Naji Marshall OVER AST 2.5 (GOBLIN) [id:9869141] | Max Christie OVER PTS 12.5 (GOBLIN) [id:9869128] | P.J. Washington UNDER PTS 14.5 (STANDARD) [id:9868984] | LeBron James UNDER RA 14.5 (STANDARD) [id:9868890],4
data/output/latest/late/System/recommended_4leg.csv,3,4,4,0.18985752887283416,0.2375252465435838,0.04766771767074965,"[9868922, 9869153, 9868808, 9868853]","[9868922, 9869153, 9868808, 9868853]","[""Max Christie"", ""Naji Marshall"", ""Caleb Martin"", ""Deandre Ayton""]",Max Christie OVER FG3M 1.5 (GOBLIN) [id:9868922] | Naji Marshall OVER RA 8.5 (GOBLIN) [id:9869153] | Caleb Martin UNDER PA 10.5 (STANDARD) [id:9868808] | Deandre Ayton UNDER PRA 22.5 (STANDARD) [id:9868853],4
data/output/latest/late/System/recommended_4leg.csv,4,4,4,0.19437965592664788,0.23037740706723717,0.035997751140589285,"[9868885, 9868943, 9868984, 9868781]","[9868885, 9868943, 9868984, 9868781]","[""LeBron James"", ""Max Christie"", ""P.J. Washington"", ""Austin Reaves""]",LeBron James OVER REB 4.5 (GOBLIN) [id:9868885] | Max Christie OVER REB 2.5 (GOBLIN) [id:9868943] | P.J. Washington UNDER PTS 14.5 (STANDARD) [id:9868984] | Austin Reaves UNDER PTS 22.5 (STANDARD) [id:9868781],4
data/output/latest/late/System/recommended_4leg.csv,5,4,4,0.09412833406062855,0.20902539247993435,0.1148970584193058,"[9868833, 9868966, 9868781, 9868882]","[9868833, 9868966, 9868781, 9868882]","[""Daniel Gafford"", ""Naji Marshall"", ""Austin Reaves"", ""LeBron James""]",Daniel Gafford OVER REB 5.5 (GOBLIN) [id:9868833] | Naji Marshall OVER REB 4.5 (GOBLIN) [id:9868966] | Austin Reaves UNDER PTS 22.5 (STANDARD) [id:9868781] | LeBron James UNDER PR 29.5 (STANDARD) [id:9868882],4
data/output/latest/late/System/recommended_4leg.csv,6,4,4,0.17748416487993537,0.20665361098129598,0.029169446101360602,"[9868966, 9868769, 9868890, 9868806]","[9868966, 9868769, 9868890, 9868806]","[""Naji Marshall"", ""Austin Reaves"", ""LeBron James"", ""Caleb Martin""]",Naji Marshall OVER REB 4.5 (GOBLIN) [id:9868966] | Austin Reaves OVER AST 3.5 (GOBLIN) [id:9868769] | LeBron James UNDER RA 14.5 (STANDARD) [id:9868890] | Caleb Martin UNDER PTS 7.5 (STANDARD) [id:9868806],4
data/output/latest/late/System/recommended_4leg.csv,7,4,4,0.22091485688537313,0.1874120241963388,-0.03350283268903434,"[9868769, 9868914, 9868808, 9868830]","[9868769, 9868914, 9868808, 9868830]","[""Austin Reaves"", ""Marcus Smart"", ""Caleb Martin"", ""Daniel Gafford""]",Austin Reaves OVER AST 3.5 (GOBLIN) [id:9868769] | Marcus Smart OVER REB 2.5 (GOBLIN) [id:9868914] | Caleb Martin UNDER PA 10.5 (STANDARD) [id:9868808] | Daniel Gafford UNDER PRA 18.5 (STANDARD) [id:9868830],4
data/output/latest/late/System/recommended_3leg.csv,0,3,3,0.2818488841503889,0.4174099773202865,0.13556109316989762,"[9868922, 9868808, 9868882]","[9868922, 9868808, 9868882]","[""Max Christie"", ""Caleb Martin"", ""LeBron James""]",Max Christie OVER FG3M 1.5 (GOBLIN) [id:9868922] | Caleb Martin UNDER PA 10.5 (STANDARD) [id:9868808] | LeBron James UNDER PR 29.5 (STANDARD) [id:9868882],3
