"projection_id","control_p_adj","variant_p_adj","delta_p_adj","control_hit_prob","variant_hit_prob","delta_hit_prob","control_ev_mult","variant_ev_mult","delta_ev_mult","control_role_ctx_mult","variant_role_ctx_mult","delta_role_ctx_mult"
"9838337","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838431","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838519","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838596","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9839591","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9840700","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9843936","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9833913","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834326","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837005","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837007","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837009","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837011","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837491","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837497","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837502","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837515","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837525","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838369","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838517","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838547","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838548","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838591","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
