game_date,player,team,opp,minutes,pts,reb,ast,fg3m,fga,fta,tov,usg_proxy
10/4/2025,Norman Powell,MIA,ORL,14,5,0,1,1,6,0,2,0.571429
10/4/2025,Precious Achiuwa,MIA,ORL,11,5,4,0,0,2,3,2,0.483636
10/4/2025,Simone Fontecchio,MIA,ORL,21,9,3,2,1,6,2,0,0.327619
10/4/2025,Myron Gardner,MIA,ORL,12,10,4,1,2,7,6,1,0.886667
10/4/2025,Keshad Johnson,MIA,ORL,22,8,1,3,0,6,2,1,0.358182
10/4/2025,Dain Dainja,MIA,ORL,7,4,1,0,0,1,4,2,0.68
10/4/2025,Vladislav Goldin,MIA,ORL,8,2,0,0,0,1,0,1,0.25
10/4/2025,Kel'el Ware,MIA,ORL,17,10,9,0,1,10,2,0,0.64
10/4/2025,Dru Smith,MIA,ORL,10,7,1,0,1,5,0,2,0.7
10/4/2025,Ethan Thompson,MIA,ORL,27,5,3,6,1,6,2,2,0.328889
10/4/2025,Trevor Keels,MIA,ORL,17,12,1,2,2,4,2,1,0.345882
10/4/2025,Jahmir Young,MIA,ORL,17,7,1,4,1,7,0,2,0.529412
10/4/2025,Jaden McDaniels,MIN,DEN,12,9,2,1,1,4,2,0,0.406667
10/4/2025,Rudy Gobert,MIN,DEN,12,6,3,3,0,4,0,0,0.333333
10/4/2025,Naz Reid,MIN,DEN,12,10,1,0,2,6,0,0,0.5
10/4/2025,Donte DiVincenzo,MIN,DEN,12,8,1,6,2,5,0,0,0.416667
10/4/2025,Rob Dillingham,MIN,DEN,23,7,2,9,1,10,0,4,0.608696
10/4/2025,Joe Ingles,MIN,DEN,16,3,0,4,1,2,0,1,0.1875
10/4/2025,Alize Johnson,MIN,DEN,8,0,1,0,0,0,0,1,0.125
10/4/2025,Enrique Freeman,MIN,DEN,8,9,2,0,2,3,1,1,0.555
10/4/2025,Joan Beringer,MIN,DEN,23,14,4,0,0,8,3,0,0.405217
10/4/2025,Rocco Zikarsky,MIN,DEN,13,9,8,0,0,8,4,1,0.827692
10/4/2025,Jules Bernard,MIN,DEN,4,0,1,1,0,1,0,0,0.25
10/4/2025,Jaylen Clark,MIN,DEN,20,2,2,0,0,4,0,0,0.2
10/4/2025,Johnny Juzang,MIN,DEN,20,16,6,0,3,13,2,0,0.694
10/4/2025,Terrence Shannon Jr.,MIN,DEN,21,11,4,4,0,9,8,1,0.64381
10/4/2025,Bones Hyland,MIN,DEN,22,18,3,3,3,8,6,1,0.529091
10/4/2025,Tristen Newton,MIN,DEN,3,2,0,0,0,1,0,0,0.333333
10/4/2025,Zyon Pullin,MIN,DEN,10,2,1,1,0,2,0,1,0.3
10/4/2025,Aaron Gordon,DEN,MIN,15,14,3,1,1,4,6,1,0.509333
10/4/2025,Cameron Johnson,DEN,MIN,15,2,0,1,0,3,0,1,0.266667
10/4/2025,Nikola Jokic,DEN,MIN,19,14,5,2,0,5,6,1,0.454737
10/4/2025,Jamal Murray,DEN,MIN,16,12,1,5,1,6,5,2,0.6375
10/4/2025,Christian Braun,DEN,MIN,15,7,3,0,1,2,4,1,0.317333
10/4/2025,Hunter Tyson,DEN,MIN,15,9,3,0,3,5,0,1,0.4
10/4/2025,Zeke Nnaji,DEN,MIN,12,4,2,1,0,6,0,0,0.5
10/4/2025,DaRon Holmes II,DEN,MIN,9,5,1,2,1,2,2,0,0.32
10/4/2025,Spencer Jones,DEN,MIN,10,0,1,0,0,0,0,0,0.0
10/4/2025,Jonas Valanciunas,DEN,MIN,13,6,1,2,0,5,0,4,0.692308
10/4/2025,Moses Brown,DEN,MIN,4,8,3,0,0,5,0,0,1.25
10/4/2025,Tim Hardaway Jr.,DEN,MIN,15,3,2,3,0,3,4,1,0.384
10/4/2025,Bruce Brown,DEN,MIN,16,2,1,2,0,3,0,1,0.25
10/4/2025,Jalen Pickett,DEN,MIN,14,13,3,4,3,9,0,1,0.714286
10/4/2025,Julian Strawther,DEN,MIN,18,7,3,0,1,6,1,1,0.413333
10/4/2025,Peyton Watson,DEN,MIN,18,10,4,0,0,5,0,0,0.277778
10/4/2025,Tamar Bates,DEN,MIN,4,0,0,0,0,1,0,0,0.25
10/4/2025,Curtis Jones,DEN,MIN,12,0,1,4,0,5,0,0,0.416667
10/4/2025,John Brown,Pnx,NO,23,6,7,2,0,6,0,0,0.26087
10/4/2025,Malique Lewis,Pnx,NO,32,8,5,4,2,9,2,2,0.37125
10/4/2025,Jordan Hunter,Pnx,NO,19,17,6,2,1,13,2,2,0.835789
10/4/2025,Nathan Sobey,Pnx,NO,23,16,0,5,2,13,6,2,0.766957
10/4/2025,Owen Foxwell,Pnx,NO,26,6,2,2,0,13,2,1,0.572308
10/4/2025,DJ Mitchell,Pnx,NO,10,0,3,1,0,8,0,1,0.9
10/4/2025,Akech Allir,Pnx,NO,20,16,3,2,2,8,7,0,0.554
10/4/2025,Ellis Biggar,Pnx,NO,2,2,0,0,0,1,0,0,0.5
10/4/2025,Gorjok Gak,Pnx,NO,10,6,4,0,0,6,0,0,0.6
10/4/2025,Hunter Maldonado,Pnx,NO,23,4,5,2,0,10,0,1,0.478261
10/4/2025,Daniel Foster,Pnx,NO,19,6,4,2,0,6,1,0,0.338947
10/4/2025,Patrick Ryan,Pnx,NO,6,0,1,0,0,1,0,0,0.166667
10/4/2025,Angus Glover,Pnx,NO,25,5,2,1,1,9,0,1,0.4
10/4/2025,Austin Foxwell,Pnx,NO,2,0,0,1,0,0,0,0,0.0
10/4/2025,Kevon Looney,NO,Pnx,10,4,2,1,0,3,2,1,0.488
10/4/2025,Zion Williamson,NO,Pnx,15,8,9,3,0,5,3,2,0.554667
10/4/2025,Jordan Poole,NO,Pnx,18,15,2,4,1,7,8,1,0.64
10/4/2025,Saddiq Bey,NO,Pnx,21,21,6,3,4,9,7,1,0.622857
10/4/2025,Jeremiah Fears,NO,Pnx,24,12,1,3,1,10,1,2,0.518333
10/4/2025,Jalen McDaniels,NO,Pnx,7,3,2,1,1,1,0,1,0.285714
10/4/2025,Christian Shumate,NO,Pnx,7,6,2,0,0,3,2,0,0.554286
10/4/2025,Karlo Matkovic,NO,Pnx,16,9,4,2,0,6,2,2,0.555
