player,player_norm,status,iael_team_raw,iael_team,roster_team,reason
"Ivey,Jaden",ivey jaden,OUT,DAL,DAL,DET,PainSyndrome
"Simons,Anfernee",anfernee simons,OUT,DAL,DAL,BOS,Injury/Illness-LeftUlnarStyloid; Fracture
"Smith,Jalen",jalen smith,DOUBTFUL,DAL,DAL,CHI,Injury/Illness-RightCalf;Strain Injury/Illness-RightQuadricep;
"Williams,Patrick",patrick williams,DOUBTFUL,DAL,DAL,CHI,"Strain PhoenixSuns Brooks,Dillon Out Injury/Illness-LeftHand;Fracture"
"Goodwin,Jordan",goodwin jordan,OUT,DAL,DAL,PHX,Injury/Illness-LeftCalf;Strain
"Williams,Mark",mark williams,OUT,DAL,DAL,PHX,"Injury/Illness-LeftFoot;Soreness Injury/Illness-RightHamstring; DenverNuggets Gordon,Aaron Out Strain Injury/Illness-RightAnkle;"
"Johnson,Cameron",cameron johnson,QUESTIONABLE,DAL,DAL,DEN,Inflammation
"Jones,Curtis",curtis jones,OUT,DAL,DAL,DEN,GLeague-Two-Way
"Jones,Spencer",jones spencer,OUT,DAL,DAL,DEN,Injury/Illness-RightShoulder;Strain Injury/Illness-RightHamstring;
"Watson,Peyton",peyton watson,OUT,DAL,DAL,DEN,Strain
"Dickinson,Hunter",dickinson hunter,OUT,DAL,DAL,NOP,GLeague-Two-Way
"Murray,Dejounte",dejounte murray,OUT,DAL,DAL,NOP,Reconditioning
"Williamson,Zion",williamson zion,QUESTIONABLE,DAL,DAL,NOP,"Injury/Illness-RightAnkle;Sprain SacramentoKings Cardwell,Dylan Out Injury/Illness-LeftAnkle;Sprain Injury/Illness-LeftEye;Retinal"
"Hunter,De'Andre",de'andre hunter,OUT,DAL,DAL,CLE,Repair Injury/Illness-Right5thFinger;
"LaVine,Zach",lavine zach,OUT,DAL,DAL,SAC,TendonRepair
"Murray,Keegan",keegan murray,OUT,DAL,DAL,SAC,Injury/Illness-LeftAnkle;Sprain Injury/Illness-LeftKnee;Meniscus
"Sabonis,Domantas",domantas sabonis,OUT,DAL,DAL,SAC,"Repair BostonCeltics Scheierman,Baylor Available Injury/Illness-LeftThumb;Fracture"
"Tatum,Jayson",jayson tatum,QUESTIONABLE,DAL,DAL,BOS,Injury/Illness-RightAchilles;Repair CharlotteHornets NOTYETSUBMITTED HoustonRockets NOTYETSUBMITTED PhoenixSuns NOTYETSUBMITTED Injury/Illness-LowerBack;Lower BackContusion
"Jones,Dillon",dillon jones,OUT,DAL,DAL,NYK,GLeague-Two-Way Injury/Illness-Pelvic;CoreMuscle
"McBride,Miles",mcbride miles,OUT,DAL,DAL,NYK,Surgery DenverNuggets NOTYETSUBMITTED SanAntonioSpurs NOTYETSUBMITTED LosAngelesLakers NOTYETSUBMITTED
