projection_id,source_projection_id,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at
10071733|Royce O'Neale|TOV|DEMON|1.5|OVER,10071733,Royce O'Neale,PHX,TOV,TURNOVERS,1,1.5,OVER,DEMON,1,0,1.5,0,0,demon,2026-02-24T21:10:00.000-05:00,2026-02-24T09:42:37.084000+00:00
10089234|Royce O'Neale|FG3M|DEMON|3.5|OVER,10089234,Royce O'Neale,PHX,FG3M,3-PT MADE,1,3.5,OVER,DEMON,1,0,3.5,0,0,demon,2026-02-24T21:10:00.000-05:00,2026-02-24T09:30:30.566000+00:00
10086937|Scoot Henderson|PTS|DEMON|19.5|OVER,10086937,Scoot Henderson,POR,PTS,POINTS,1,19.5,OVER,DEMON,1,0,19.5,0,0,demon,2026-02-24T22:10:00.000-05:00,2026-02-24T09:30:14.631000+00:00
10089320|Ryan Dunn|PTS|DEMON|7.5|OVER,10089320,Ryan Dunn,PHX,PTS,POINTS,1,7.5,OVER,DEMON,1,0,7.5,0,0,demon,2026-02-24T21:10:00.000-05:00,2026-02-24T09:27:53.800000+00:00
10065711|Desmond Bane|PTS|STANDARD|20.5|OVER,10065711,Desmond Bane,ORL,PTS,POINTS,1,20.5,OVER,STANDARD,1,0,20.5,0,0,standard,2026-02-24T22:40:00.000-05:00,2026-02-24T09:22:57.717000+00:00
10065711|Desmond Bane|PTS|STANDARD|20.5|UNDER,10065711,Desmond Bane,ORL,PTS,POINTS,1,20.5,UNDER,STANDARD,0,1,20.5,0,0,standard,2026-02-24T22:40:00.000-05:00,2026-02-24T09:22:57.717000+00:00
10088756|Julius Randle|PR|DEMON|29.5|OVER,10088756,Julius Randle,MIN,PR,PTS+REBS,1,29.5,OVER,DEMON,1,0,29.5,0,0,demon,2026-02-24T22:10:00.000-05:00,2026-02-24T09:22:21.393000+00:00
10089196|Wendell Carter|PR|DEMON|19.5|OVER,10089196,Wendell Carter,ORL,PR,PTS+REBS,1,19.5,OVER,DEMON,1,0,19.5,0,0,demon,2026-02-24T22:40:00.000-05:00,2026-02-24T09:22:21.358000+00:00
10089348|Tristan Silva|PR|DEMON|14.5|OVER,10089348,Tristan Silva,ORL,PR,PTS+REBS,1,14.5,OVER,DEMON,1,0,14.5,0,0,demon,2026-02-24T22:40:00.000-05:00,2026-02-24T09:22:21.347000+00:00
10088748|Jaden McDaniels|PR|DEMON|24.5|OVER,10088748,Jaden McDaniels,MIN,PR,PTS+REBS,1,24.5,OVER,DEMON,1,0,24.5,0,0,demon,2026-02-24T22:10:00.000-05:00,2026-02-24T09:19:31.550000+00:00
