team,out_player,beneficiary_player,stat,games,weight,team_u,stat_u,out_canon,ben_canon
CHI,Anfernee Simons,Lachlan Olbrich,AST,6,0.0012756461684319236,CHI,AST,anfernee simons,lachlan olbrich
CHI,Anfernee Simons,Lachlan Olbrich,PTS,6,0.0012630964637096636,CHI,PTS,anfernee simons,lachlan olbrich
CHI,Anfernee Simons,Lachlan Olbrich,REB,6,0.000890000743468394,CHI,REB,anfernee simons,lachlan olbrich
CHI,Anfernee Simons,Leonard Miller,AST,6,0.00494312557889813,CHI,AST,anfernee simons,leonard miller
CHI,Anfernee Simons,Leonard Miller,PTS,6,0.006124967444833201,CHI,PTS,anfernee simons,leonard miller
CHI,Anfernee Simons,Leonard Miller,REB,6,0.003587739231762162,CHI,REB,anfernee simons,leonard miller
CHI,Anfernee Simons,Matas Buzelis,AST,6,0.009197777914904627,CHI,AST,anfernee simons,matas buzelis
CHI,Anfernee Simons,Matas Buzelis,PTS,6,0.011313056207034043,CHI,PTS,anfernee simons,matas buzelis
CHI,Anfernee Simons,Matas Buzelis,REB,6,0.006075895413791437,CHI,REB,anfernee simons,matas buzelis
CHI,Anfernee Simons,Nick Richards,AST,6,0.005267937279114741,CHI,AST,anfernee simons,nick richards
CHI,Anfernee Simons,Nick Richards,PTS,6,0.006883808726217786,CHI,PTS,anfernee simons,nick richards
CHI,Anfernee Simons,Nick Richards,REB,6,0.004615655962089867,CHI,REB,anfernee simons,nick richards
CHI,Anfernee Simons,Nikola Vucevic,AST,6,0.010771325553089198,CHI,AST,anfernee simons,nikola vucevic
CHI,Anfernee Simons,Nikola Vucevic,PTS,6,0.01197769175902524,CHI,PTS,anfernee simons,nikola vucevic
CHI,Anfernee Simons,Nikola Vucevic,REB,6,0.007086319811763448,CHI,REB,anfernee simons,nikola vucevic
CHI,Anfernee Simons,Patrick Williams,AST,6,0.004705904769598824,CHI,AST,anfernee simons,patrick williams
CHI,Anfernee Simons,Patrick Williams,PTS,6,0.005244549376838702,CHI,PTS,anfernee simons,patrick williams
CHI,Anfernee Simons,Patrick Williams,REB,6,0.002957567701840517,CHI,REB,anfernee simons,patrick williams
CHI,Anfernee Simons,Rob Dillingham,AST,6,0.00609122549307756,CHI,AST,anfernee simons,rob dillingham
CHI,Anfernee Simons,Rob Dillingham,PTS,6,0.005892489817379067,CHI,PTS,anfernee simons,rob dillingham
CHI,Anfernee Simons,Rob Dillingham,REB,6,0.003097065078578046,CHI,REB,anfernee simons,rob dillingham
CHI,Anfernee Simons,Tre Jones,AST,6,0.009914921592326143,CHI,AST,anfernee simons,tre jones
CHI,Anfernee Simons,Tre Jones,PTS,6,0.009264302421894617,CHI,PTS,anfernee simons,tre jones
CHI,Anfernee Simons,Tre Jones,REB,6,0.004531350994554907,CHI,REB,anfernee simons,tre jones
CHI,Anfernee Simons,Yuki Kawamura,AST,6,0.003301653862550145,CHI,AST,anfernee simons,yuki kawamura
CHI,Anfernee Simons,Yuki Kawamura,PTS,6,0.002344912460221965,CHI,PTS,anfernee simons,yuki kawamura
CHI,Anfernee Simons,Yuki Kawamura,REB,6,0.001411598862640193,CHI,REB,anfernee simons,yuki kawamura
CHI,Jalen Smith,Ayo Dosunmu,AST,37,0.0026820650406425397,CHI,AST,jalen smith,ayo dosunmu
CHI,Jalen Smith,Ayo Dosunmu,PTS,37,0.00597546217201889,CHI,PTS,jalen smith,ayo dosunmu
CHI,Jalen Smith,Ayo Dosunmu,REB,37,0.009075329877143844,CHI,REB,jalen smith,ayo dosunmu
CHI,Jalen Smith,Coby White,AST,29,0.003182567231663599,CHI,AST,jalen smith,coby white
CHI,Jalen Smith,Coby White,PTS,29,0.007071425297513619,CHI,PTS,jalen smith,coby white
CHI,Jalen Smith,Coby White,REB,29,0.010599126589183668,CHI,REB,jalen smith,coby white
CHI,Jalen Smith,Collin Sexton,AST,19,0.002268196584635272,CHI,AST,jalen smith,collin sexton
CHI,Jalen Smith,Collin Sexton,PTS,19,0.0057109922490337925,CHI,PTS,jalen smith,collin sexton
CHI,Jalen Smith,Collin Sexton,REB,19,0.007923936417579602,CHI,REB,jalen smith,collin sexton
CHI,Jalen Smith,Dalen Terry,AST,28,0.000843629803685543,CHI,AST,jalen smith,dalen terry
CHI,Jalen Smith,Dalen Terry,PTS,28,0.0017324194299084958,CHI,PTS,jalen smith,dalen terry
CHI,Jalen Smith,Dalen Terry,REB,28,0.0032471894308446717,CHI,REB,jalen smith,dalen terry
CHI,Jalen Smith,Emanuel Miller,AST,5,0.0003896455001271638,CHI,AST,jalen smith,emanuel miller
CHI,Jalen Smith,Emanuel Miller,PTS,5,0.0008373209877239005,CHI,PTS,jalen smith,emanuel miller
CHI,Jalen Smith,Emanuel Miller,REB,5,0.0012711655974480542,CHI,REB,jalen smith,emanuel miller
CHI,Jalen Smith,Guerschon Yabusele,AST,21,0.0020957124164049054,CHI,AST,jalen smith,guerschon yabusele
CHI,Jalen Smith,Guerschon Yabusele,PTS,21,0.004941655979322916,CHI,PTS,jalen smith,guerschon yabusele
CHI,Jalen Smith,Guerschon Yabusele,REB,21,0.00921792270823471,CHI,REB,jalen smith,guerschon yabusele
CHI,Jalen Smith,Isaac Okoro,AST,43,0.0023880993237445657,CHI,AST,jalen smith,isaac okoro
CHI,Jalen Smith,Isaac Okoro,PTS,43,0.005678518773475526,CHI,PTS,jalen smith,isaac okoro
CHI,Jalen Smith,Isaac Okoro,REB,43,0.009406610038568818,CHI,REB,jalen smith,isaac okoro
CHI,Jalen Smith,Jaden Ivey,AST,4,0.0031992722756136864,CHI,AST,jalen smith,jaden ivey
CHI,Jalen Smith,Jaden Ivey,PTS,4,0.006364298913211144,CHI,PTS,jalen smith,jaden ivey
CHI,Jalen Smith,Jaden Ivey,REB,4,0.011544758533749627,CHI,REB,jalen smith,jaden ivey
CHI,Jalen Smith,Jevon Carter,AST,21,0.0006773798439252078,CHI,AST,jalen smith,jevon carter
CHI,Jalen Smith,Jevon Carter,PTS,21,0.001667505734763113,CHI,PTS,jalen smith,jevon carter
CHI,Jalen Smith,Jevon Carter,REB,21,0.0025543260194728283,CHI,REB,jalen smith,jevon carter
CHI,Jalen Smith,Josh Giddey,AST,43,0.004596087595403338,CHI,AST,jalen smith,josh giddey
CHI,Jalen Smith,Josh Giddey,PTS,43,0.007730527990681345,CHI,PTS,jalen smith,josh giddey
CHI,Jalen Smith,Josh Giddey,REB,43,0.01425631494998476,CHI,REB,jalen smith,josh giddey
CHI,Jalen Smith,Julian Phillips,AST,26,0.0005679136330551565,CHI,AST,jalen smith,julian phillips
CHI,Jalen Smith,Julian Phillips,PTS,26,0.0014417888252655042,CHI,PTS,jalen smith,julian phillips
CHI,Jalen Smith,Julian Phillips,REB,26,0.0025168707730262446,CHI,REB,jalen smith,julian phillips
CHI,Jalen Smith,Kevin Huerter,AST,34,0.0019846546666740356,CHI,AST,jalen smith,kevin huerter
CHI,Jalen Smith,Kevin Huerter,PTS,34,0.004462661567035926,CHI,PTS,jalen smith,kevin huerter
CHI,Jalen Smith,Kevin Huerter,REB,34,0.00767344405563344,CHI,REB,jalen smith,kevin huerter
CHI,Jalen Smith,Lachlan Olbrich,AST,28,0.000385018877259355,CHI,AST,jalen smith,lachlan olbrich
