projection_id,player_name,stat,line,p_adj,hit_prob,ev_mult,role_ctx_mult,rank
9833915,Unknown,Pts+Rebs+Asts,28.5,0.5,0.5,1.0,1.0,56
9838587,Unknown,Pts+Rebs+Asts,28.5,0.5,0.5,1.0,1.0,57
9844421,Unknown,Pts+Asts,28.5,0.5,0.5,1.0,1.0,58
9838340,Unknown,Pts+Rebs+Asts,27.5,0.5,0.5,1.0,1.0,59
9833898,Unknown,Points,26.5,0.5,0.5,1.0,1.0,60
9834297,Unknown,Pts+Rebs,26.5,0.5,0.5,1.0,1.0,61
9838430,Unknown,Points,26.5,0.5,0.5,1.0,1.0,62
9833914,Unknown,Pts+Rebs,25.5,0.5,0.5,1.0,1.0,63
9838342,Unknown,Pts+Rebs+Asts,25.5,0.5,0.5,1.0,1.0,64
9838454,Unknown,Pts+Rebs+Asts,25.5,0.5,0.5,1.0,1.0,65
9838472,Unknown,Pts+Rebs+Asts,25.5,0.5,0.5,1.0,1.0,66
9838491,Unknown,Pts+Rebs+Asts,25.5,0.5,0.5,1.0,1.0,67
9839681,Unknown,Points,25.5,0.5,0.5,1.0,1.0,68
9834248,Unknown,Points,24.5,0.5,0.5,1.0,1.0,69
9834284,Unknown,Points,24.5,0.5,0.5,1.0,1.0,70
9834295,Unknown,Points,24.5,0.5,0.5,1.0,1.0,71
9834305,Unknown,Points,24.5,0.5,0.5,1.0,1.0,72
9834346,Unknown,Points,24.5,0.5,0.5,1.0,1.0,73
9837256,Unknown,Pts+Rebs,24.5,0.5,0.5,1.0,1.0,74
9837267,Unknown,Pts+Asts,24.5,0.5,0.5,1.0,1.0,75
9837271,Unknown,Pts+Rebs,24.5,0.5,0.5,1.0,1.0,76
9837281,Unknown,Pts+Asts,24.5,0.5,0.5,1.0,1.0,77
9837285,Unknown,Pts+Rebs+Asts,24.5,0.5,0.5,1.0,1.0,78
9837292,Unknown,Pts+Asts,24.5,0.5,0.5,1.0,1.0,79
9837294,Unknown,Pts+Rebs,24.5,0.5,0.5,1.0,1.0,80
9837297,Unknown,Pts+Rebs+Asts,24.5,0.5,0.5,1.0,1.0,81
9837494,Unknown,Pts+Rebs,24.5,0.5,0.5,1.0,1.0,82
9837505,Unknown,Pts+Asts,24.5,0.5,0.5,1.0,1.0,83
9837507,Unknown,Pts+Rebs,24.5,0.5,0.5,1.0,1.0,84
9837508,Unknown,Pts+Rebs+Asts,24.5,0.5,0.5,1.0,1.0,85
9837517,Unknown,Pts+Asts,24.5,0.5,0.5,1.0,1.0,86
9837520,Unknown,Pts+Rebs,24.5,0.5,0.5,1.0,1.0,87
9837523,Unknown,Pts+Rebs+Asts,24.5,0.5,0.5,1.0,1.0,88
9838550,Unknown,Pts+Rebs+Asts,24.5,0.5,0.5,1.0,1.0,89
9839468,Unknown,Pts+Rebs+Asts,24.5,0.5,0.5,1.0,1.0,90
9840110,Unknown,Pts+Rebs,24.5,0.5,0.5,1.0,1.0,91
9843767,Unknown,Pts+Rebs,24.5,0.5,0.5,1.0,1.0,92
9834250,Unknown,Pts+Rebs,23.5,0.5,0.5,1.0,1.0,93
9834328,Unknown,Pts+Rebs+Asts,23.5,0.5,0.5,1.0,1.0,94
9838341,Unknown,Pts+Rebs+Asts,23.5,0.5,0.5,1.0,1.0,95
9838595,Unknown,Pts+Rebs+Asts,23.5,0.5,0.5,1.0,1.0,96
9838549,Unknown,Pts+Rebs+Asts,22.5,0.5,0.5,1.0,1.0,97
9838586,Unknown,Pts+Rebs+Asts,22.5,0.5,0.5,1.0,1.0,98
9843928,Unknown,Points,22.5,0.5,0.5,1.0,1.0,99
9833906,Unknown,Points,21.5,0.5,0.5,1.0,1.0,100
9833922,Unknown,Pts+Rebs+Asts,21.5,0.5,0.5,1.0,1.0,101
9838370,Unknown,Pts+Rebs+Asts,21.5,0.5,0.5,1.0,1.0,102
9838393,Unknown,Pts+Rebs+Asts,21.5,0.5,0.5,1.0,1.0,103
9839965,Unknown,Pts+Rebs+Asts,20.5,0.5,0.5,1.0,1.0,104
9839966,Unknown,Pts+Rebs+Asts,20.5,0.5,0.5,1.0,1.0,105
9840701,Unknown,Pts+Rebs+Asts,20.5,0.5,0.5,1.0,1.0,106
9833921,Unknown,Pts+Rebs,19.5,0.5,0.5,1.0,1.0,107
9834247,Unknown,Points,19.5,0.5,0.5,1.0,1.0,108
9834273,Unknown,Points,19.5,0.5,0.5,1.0,1.0,109
9834277,Unknown,Pts+Rebs+Asts,19.5,0.5,0.5,1.0,1.0,110
9834294,Unknown,Points,19.5,0.5,0.5,1.0,1.0,111
9834304,Unknown,Points,19.5,0.5,0.5,1.0,1.0,112
9834314,Unknown,Points,19.5,0.5,0.5,1.0,1.0,113
9834325,Unknown,Points,19.5,0.5,0.5,1.0,1.0,114
9834339,Unknown,Points,19.5,0.5,0.5,1.0,1.0,115
9834345,Unknown,Points,19.5,0.5,0.5,1.0,1.0,116
9837270,Unknown,Pts+Rebs,19.5,0.5,0.5,1.0,1.0,117
9837280,Unknown,Pts+Asts,19.5,0.5,0.5,1.0,1.0,118
9837282,Unknown,Pts+Rebs,19.5,0.5,0.5,1.0,1.0,119
9837291,Unknown,Pts+Asts,19.5,0.5,0.5,1.0,1.0,120
9837296,Unknown,Pts+Rebs+Asts,19.5,0.5,0.5,1.0,1.0,121
9837495,Unknown,Pts+Rebs,19.5,0.5,0.5,1.0,1.0,122
9837499,Unknown,Pts+Rebs,19.5,0.5,0.5,1.0,1.0,123
9837504,Unknown,Pts+Asts,19.5,0.5,0.5,1.0,1.0,124
9837506,Unknown,Pts+Rebs,19.5,0.5,0.5,1.0,1.0,125
9837518,Unknown,Pts+Asts,19.5,0.5,0.5,1.0,1.0,126
9837524,Unknown,Pts+Rebs+Asts,19.5,0.5,0.5,1.0,1.0,127
9838368,Unknown,Pts+Rebs+Asts,19.5,0.5,0.5,1.0,1.0,128
9838553,Unknown,Pts+Rebs+Asts,19.5,0.5,0.5,1.0,1.0,129
9846346,Unknown,Pts+Asts,19.5,0.5,0.5,1.0,1.0,130
9834327,Unknown,Pts+Rebs,18.5,0.5,0.5,1.0,1.0,131
9838337,Unknown,Pts+Asts,18.5,0.5,0.5,1.0,1.0,132
9838431,Unknown,Points,18.5,0.5,0.5,1.0,1.0,133
9838519,Unknown,Pts+Rebs+Asts,18.5,0.5,0.5,1.0,1.0,134
9838596,Unknown,Pts+Rebs+Asts,18.5,0.5,0.5,1.0,1.0,135
9839591,Unknown,Pts+Rebs+Asts,18.5,0.5,0.5,1.0,1.0,136
9840700,Unknown,Pts+Rebs+Asts,18.5,0.5,0.5,1.0,1.0,137
9843936,Unknown,Pts+Rebs,18.5,0.5,0.5,1.0,1.0,138
9833913,Unknown,Pts+Asts,17.5,0.5,0.5,1.0,1.0,139
9834326,Unknown,Pts+Asts,17.5,0.5,0.5,1.0,1.0,140
9837005,Unknown,Points,17.5,0.5,0.5,1.0,1.0,141
9837007,Unknown,Points,17.5,0.5,0.5,1.0,1.0,142
9837009,Unknown,Points,17.5,0.5,0.5,1.0,1.0,143
9837011,Unknown,Points,17.5,0.5,0.5,1.0,1.0,144
9837491,Unknown,Points,17.5,0.5,0.5,1.0,1.0,145
9837497,Unknown,Points,17.5,0.5,0.5,1.0,1.0,146
9837502,Unknown,Points,17.5,0.5,0.5,1.0,1.0,147
9837515,Unknown,Points,17.5,0.5,0.5,1.0,1.0,148
9837525,Unknown,Points,17.5,0.5,0.5,1.0,1.0,149
9838369,Unknown,Pts+Rebs+Asts,17.5,0.5,0.5,1.0,1.0,150
9838517,Unknown,Pts+Rebs+Asts,17.5,0.5,0.5,1.0,1.0,151
9838547,Unknown,Pts+Asts,17.5,0.5,0.5,1.0,1.0,152
9838548,Unknown,Pts+Rebs,17.5,0.5,0.5,1.0,1.0,153
9838591,Unknown,Pts+Rebs+Asts,17.5,0.5,0.5,1.0,1.0,154
9838599,Unknown,Pts+Rebs+Asts,17.5,0.5,0.5,1.0,1.0,155
9844422,Unknown,Pts+Rebs,17.5,0.5,0.5,1.0,1.0,156
9833920,Unknown,Pts+Asts,16.5,0.5,0.5,1.0,1.0,157
9834249,Unknown,Points,16.5,0.5,0.5,1.0,1.0,158
9838229,Unknown,Rebounds (Combo),16.5,0.5,0.5,1.0,1.0,159
9838436,Unknown,Rebs+Asts,16.5,0.5,0.5,1.0,1.0,160
9838518,Unknown,Pts+Rebs+Asts,16.5,0.5,0.5,1.0,1.0,161
9838552,Unknown,Pts+Rebs+Asts,16.5,0.5,0.5,1.0,1.0,162
9838590,Unknown,Pts+Rebs+Asts,16.5,0.5,0.5,1.0,1.0,163
9840699,Unknown,Pts+Rebs+Asts,16.5,0.5,0.5,1.0,1.0,164
9843932,Unknown,Pts+Asts,16.5,0.5,0.5,1.0,1.0,165
9844466,Unknown,Pts+Asts,16.5,0.5,0.5,1.0,1.0,166
9846206,Unknown,Pts+Asts,16.5,0.5,0.5,1.0,1.0,167
9833912,Unknown,Points,15.5,0.5,0.5,1.0,1.0,168
9834275,Unknown,Pts+Asts,15.5,0.5,0.5,1.0,1.0,169
9838456,Unknown,Rebs+Asts,15.5,0.5,0.5,1.0,1.0,170
9838471,Unknown,Points,15.5,0.5,0.5,1.0,1.0,171
9838490,Unknown,Points,15.5,0.5,0.5,1.0,1.0,172
9843925,Unknown,Pts+Rebs,15.5,0.5,0.5,1.0,1.0,173
9845101,Unknown,Pts+Rebs,15.5,0.5,0.5,1.0,1.0,174
9834246,Unknown,Points,14.5,0.5,0.5,1.0,1.0,175
9834257,Unknown,Points,14.5,0.5,0.5,1.0,1.0,176
9834259,Unknown,Pts+Rebs,14.5,0.5,0.5,1.0,1.0,177
9834272,Unknown,Points,14.5,0.5,0.5,1.0,1.0,178
9834276,Unknown,Pts+Rebs,14.5,0.5,0.5,1.0,1.0,179
9834303,Unknown,Points,14.5,0.5,0.5,1.0,1.0,180
9834338,Unknown,Points,14.5,0.5,0.5,1.0,1.0,181
9834347,Unknown,Points,14.5,0.5,0.5,1.0,1.0,182
9837279,Unknown,Pts+Asts,14.5,0.5,0.5,1.0,1.0,183
9837290,Unknown,Pts+Asts,14.5,0.5,0.5,1.0,1.0,184
9837293,Unknown,Pts+Rebs,14.5,0.5,0.5,1.0,1.0,185
9837510,Unknown,Pts+Rebs+Asts,14.5,0.5,0.5,1.0,1.0,186
9837519,Unknown,Pts+Asts,14.5,0.5,0.5,1.0,1.0,187
9837521,Unknown,Pts+Rebs,14.5,0.5,0.5,1.0,1.0,188
9838347,Unknown,Rebs+Asts,14.5,0.5,0.5,1.0,1.0,189
9838414,Unknown,Rebs+Asts,14.5,0.5,0.5,1.0,1.0,190
9838435,Unknown,Rebs+Asts,14.5,0.5,0.5,1.0,1.0,191
9838589,Unknown,Pts+Rebs+Asts,14.5,0.5,0.5,1.0,1.0,192
9839476,Unknown,Pts+Rebs+Asts,14.5,0.5,0.5,1.0,1.0,193
9840117,Unknown,Points,14.5,0.5,0.5,1.0,1.0,194
9843342,Unknown,Rebs+Asts,14.5,0.5,0.5,1.0,1.0,195
9844461,Unknown,Pts+Asts,14.5,0.5,0.5,1.0,1.0,196
9844463,Unknown,Pts+Rebs,14.5,0.5,0.5,1.0,1.0,197
9834308,Unknown,Rebounds,13.5,0.5,0.5,1.0,1.0,198
9834315,Unknown,Points,13.5,0.5,0.5,1.0,1.0,199
9837481,Unknown,Points,13.5,0.5,0.5,1.0,1.0,200
