source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
oddsapi,NBA,Cade Cunningham,PTS,2026-05-02 22:30:30,29.5,0.5,0.494,0.506,,,,n_books=5
oddsapi,NBA,Paolo Banchero,PTS,2026-05-02 22:30:30,23.5,0.6,0.4841,0.5159,,,,n_books=6
oddsapi,NBA,Desmond Bane,PTS,2026-05-02 22:30:30,18.5,0.6,0.5161,0.4839,,,,n_books=6
oddsapi,NBA,Tobias Harris,PTS,2026-05-02 22:30:30,17.5,0.5,0.5055,0.4945,,,,n_books=5
oddsapi,NBA,Jalen Duren,PTS,2026-05-02 22:30:30,12.5,0.5,0.5257,0.4743,,,,n_books=5
oddsapi,NBA,Jalen Suggs,PTS,2026-05-02 22:30:30,12.5,0.7,0.5239,0.4761,,,,n_books=7
oddsapi,NBA,Anthony Black,PTS,2026-05-02 22:30:30,10.5,0.7,0.543,0.457,,,,n_books=7
oddsapi,NBA,Duncan Robinson,PTS,2026-05-02 22:30:30,10.5,0.7,0.5065,0.4935,,,,n_books=7
oddsapi,NBA,Wendell Carter Jr,PTS,2026-05-02 22:30:30,9.5,0.6,0.5226,0.4774,,,,n_books=6
oddsapi,NBA,Ausar Thompson,PTS,2026-05-02 22:30:30,9.5,0.7,0.4824,0.5176,,,,n_books=7
oddsapi,NBA,Jamal Cain,PTS,2026-05-02 22:30:30,5.5,0.7,0.5251,0.4749,,,,n_books=7
oddsapi,NBA,Tristan da Silva,PTS,2026-05-02 22:30:30,5.5,0.3,0.4727,0.5273,,,,n_books=3
oddsapi,NBA,Isaiah Stewart II,PTS,2026-05-02 22:30:30,4.5,0.3,0.5219,0.4781,,,,n_books=3
oddsapi,NBA,Jalen Duren,REB,2026-05-02 22:30:30,9.5,0.7,0.4912,0.5088,,,,n_books=7
oddsapi,NBA,Paolo Banchero,REB,2026-05-02 22:30:30,8.5,0.7,0.4751,0.5249,,,,n_books=7
oddsapi,NBA,Ausar Thompson,REB,2026-05-02 22:30:30,8.5,0.4,0.4501,0.5499,,,,n_books=4
oddsapi,NBA,Wendell Carter Jr,REB,2026-05-02 22:30:30,7.5,0.7,0.4442,0.5558,,,,n_books=7
oddsapi,NBA,Tobias Harris,REB,2026-05-02 22:30:30,6.5,0.7,0.4548,0.5452,,,,n_books=7
oddsapi,NBA,Cade Cunningham,REB,2026-05-02 22:30:30,5.5,0.7,0.5322,0.4678,,,,n_books=7
oddsapi,NBA,Desmond Bane,REB,2026-05-02 22:30:30,3.5,0.6,0.5735,0.4265,,,,n_books=6
oddsapi,NBA,Jalen Suggs,REB,2026-05-02 22:30:30,3.5,0.6,0.548,0.452,,,,n_books=6
oddsapi,NBA,Jamal Cain,REB,2026-05-02 22:30:30,3.5,0.6,0.4597,0.5403,,,,n_books=6
oddsapi,NBA,Isaiah Stewart II,REB,2026-05-02 22:30:30,3.5,0.4,0.4559,0.5441,,,,n_books=4
oddsapi,NBA,Anthony Black,REB,2026-05-02 22:30:30,3.5,0.8,0.4418,0.5582,,,,n_books=8
oddsapi,NBA,Tristan da Silva,REB,2026-05-02 22:30:30,2.5,0.2,0.5045,0.4955,,,,n_books=2
oddsapi,NBA,Duncan Robinson,REB,2026-05-02 22:30:30,2.5,0.6,0.4875,0.5125,,,,n_books=6
oddsapi,NBA,Desmond Bane,FG3M,2026-05-02 22:30:30,2.5,0.7,0.4716,0.5284,,,,n_books=7
oddsapi,NBA,Duncan Robinson,FG3M,2026-05-02 22:30:30,2.5,0.7,0.4627,0.5373,,,,n_books=7
oddsapi,NBA,Cade Cunningham,FG3M,2026-05-02 22:30:30,2.5,0.7,0.4219,0.5781,,,,n_books=7
oddsapi,NBA,Jalen Suggs,FG3M,2026-05-02 22:30:30,2.5,0.5,0.4059,0.5941,,,,n_books=5
oddsapi,NBA,Paolo Banchero,FG3M,2026-05-02 22:30:30,1.5,0.7,0.4542,0.5458,,,,n_books=7
oddsapi,NBA,Tobias Harris,FG3M,2026-05-02 22:30:30,1.5,0.7,0.4003,0.5997,,,,n_books=7
oddsapi,NBA,Anthony Black,FG3M,2026-05-02 22:30:30,1.5,0.8,0.3792,0.6208,,,,n_books=8
oddsapi,NBA,Wendell Carter Jr,FG3M,2026-05-02 22:30:30,0.5,0.3,0.5892,0.4108,,,,n_books=3
oddsapi,NBA,Scottie Barnes,AST,2026-05-02 22:30:30,7.5,0.7,0.535,0.465,,,,n_books=7
oddsapi,NBA,James Harden,AST,2026-05-02 22:30:30,6.5,0.7,0.5,0.5,,,,n_books=7
oddsapi,NBA,Jamal Shead,AST,2026-05-02 22:30:30,5.5,0.6,0.5606,0.4394,,,,n_books=6
oddsapi,NBA,Donovan Mitchell,AST,2026-05-02 22:30:30,4.5,0.6,0.4183,0.5817,,,,n_books=6
oddsapi,NBA,R.J. Barrett,AST,2026-05-02 22:30:30,3.5,0.8,0.518,0.482,,,,n_books=8
oddsapi,NBA,Evan Mobley,AST,2026-05-02 22:30:30,2.5,0.6,0.5228,0.4772,,,,n_books=6
oddsapi,NBA,Max Strus,AST,2026-05-02 22:30:30,2.5,0.4,0.3967,0.6033,,,,n_books=4
oddsapi,NBA,Jarrett Allen,AST,2026-05-02 22:30:30,1.5,0.3,0.3838,0.6162,,,,n_books=3
oddsapi,NBA,Donovan Mitchell,PTS,2026-05-02 22:30:30,25.5,0.6,0.4811,0.5189,,,,n_books=6
oddsapi,NBA,R.J. Barrett,PTS,2026-05-02 22:30:30,23.5,0.7,0.4971,0.5029,,,,n_books=7
oddsapi,NBA,Scottie Barnes,PTS,2026-05-02 22:30:30,21.5,0.6,0.4895,0.5105,,,,n_books=6
oddsapi,NBA,James Harden,PTS,2026-05-02 22:30:30,20.5,0.7,0.4827,0.5173,,,,n_books=7
oddsapi,NBA,Evan Mobley,PTS,2026-05-02 22:30:30,16.5,0.6,0.4902,0.5098,,,,n_books=6
oddsapi,NBA,Collin Murray-Boyles,PTS,2026-05-02 22:30:30,13.5,0.7,0.5007,0.4993,,,,n_books=7
oddsapi,NBA,Jarrett Allen,PTS,2026-05-02 22:30:30,11.5,0.7,0.5146,0.4854,,,,n_books=7
oddsapi,NBA,Jamal Shead,PTS,2026-05-02 22:30:30,8.5,0.6,0.5186,0.4814,,,,n_books=6
oddsapi,NBA,Max Strus,PTS,2026-05-02 22:30:30,8.5,0.7,0.5211,0.4789,,,,n_books=7
oddsapi,NBA,Jakob Poeltl,PTS,2026-05-02 22:30:30,7.5,0.7,0.4843,0.5157,,,,n_books=7
